year,manufacturer,model,car_details
2015,mercedes-benz,sdv-pii-o6p2y,"2015,mercedes-benz,sdv-pii-o6p2y"
2016,dodge,sdv-pii-eye0z,"2016,dodge,sdv-pii-eye0z"
2014,hyundai,sdv-pii-s6s4m,"2014,hyundai,sdv-pii-s6s4m"
2011,ram,sdv-pii-077vi,"2011,ram,sdv-pii-077vi"
2007,ford,sdv-pii-t0714,"2007,ford,sdv-pii-t0714"
1999,kia,sdv-pii-l5hta,"1999,kia,sdv-pii-l5hta"
2018,dodge,sdv-pii-fmjss,"2018,dodge,sdv-pii-fmjss"
2008,ford,sdv-pii-yexeb,"2008,ford,sdv-pii-yexeb"
2018,ram,sdv-pii-3ck4b,"2018,ram,sdv-pii-3ck4b"
2017,ford,sdv-pii-bu5mz,"2017,ford,sdv-pii-bu5mz"
2012,ford,sdv-pii-e3fbk,"2012,ford,sdv-pii-e3fbk"
1994,toyota,sdv-pii-07au2,"1994,toyota,sdv-pii-07au2"
2020,kia,sdv-pii-jhedm,"2020,kia,sdv-pii-jhedm"
2000,ford,sdv-pii-744u2,"2000,ford,sdv-pii-744u2"
2018,toyota,sdv-pii-099oq,"2018,toyota,sdv-pii-099oq"
2006,toyota,sdv-pii-jtvsr,"2006,toyota,sdv-pii-jtvsr"
2019,jeep,sdv-pii-mexfn,"2019,jeep,sdv-pii-mexfn"
2016,mitsubishi,sdv-pii-3806n,"2016,mitsubishi,sdv-pii-3806n"
2014,chevrolet,sdv-pii-t1ca3,"2014,chevrolet,sdv-pii-t1ca3"
2019,dodge,sdv-pii-hhd6y,"2019,dodge,sdv-pii-hhd6y"
2020,chevrolet,sdv-pii-tr6ul,"2020,chevrolet,sdv-pii-tr6ul"
1999,subaru,sdv-pii-1ykgk,"1999,subaru,sdv-pii-1ykgk"
2013,ford,sdv-pii-b3gb9,"2013,ford,sdv-pii-b3gb9"
2017,lexus,sdv-pii-vk1qr,"2017,lexus,sdv-pii-vk1qr"
2011,ford,sdv-pii-0cgu4,"2011,ford,sdv-pii-0cgu4"
2016,jeep,sdv-pii-ghfl0,"2016,jeep,sdv-pii-ghfl0"
2017,ram,sdv-pii-9epc6,"2017,ram,sdv-pii-9epc6"
2003,ford,sdv-pii-t7qq4,"2003,ford,sdv-pii-t7qq4"
2011,chevrolet,sdv-pii-cl1lc,"2011,chevrolet,sdv-pii-cl1lc"
1987,nissan,sdv-pii-sm41g,"1987,nissan,sdv-pii-sm41g"
1996,hyundai,sdv-pii-6ua05,"1996,hyundai,sdv-pii-6ua05"
2018,chevrolet,sdv-pii-xy3k1,"2018,chevrolet,sdv-pii-xy3k1"
2009,chevrolet,sdv-pii-1ph9l,"2009,chevrolet,sdv-pii-1ph9l"
2013,ford,sdv-pii-a51n0,"2013,ford,sdv-pii-a51n0"
2011,ford,sdv-pii-1uwh0,"2011,ford,sdv-pii-1uwh0"
2008,chevrolet,sdv-pii-nv0ux,"2008,chevrolet,sdv-pii-nv0ux"
2002,ford,sdv-pii-56y7n,"2002,ford,sdv-pii-56y7n"
2012,gmc,sdv-pii-nyhdk,"2012,gmc,sdv-pii-nyhdk"
2020,alfa-romeo,sdv-pii-9b8oc,"2020,alfa-romeo,sdv-pii-9b8oc"
2012,alfa-romeo,sdv-pii-xq79x,"2012,alfa-romeo,sdv-pii-xq79x"
2017,mitsubishi,sdv-pii-hjf1e,"2017,mitsubishi,sdv-pii-hjf1e"
2020,nissan,sdv-pii-haooe,"2020,nissan,sdv-pii-haooe"
2001,toyota,sdv-pii-8hgev,"2001,toyota,sdv-pii-8hgev"
2017,toyota,sdv-pii-hrp32,"2017,toyota,sdv-pii-hrp32"
