job,marital,education,demographic_info
admin.,single,unknown,"admin.,single,unknown"
admin.,married,primary,"admin.,married,primary"
admin.,single,secondary,"admin.,single,secondary"
retired,single,primary,"retired,single,primary"
retired,married,tertiary,"retired,married,tertiary"
blue-collar,married,secondary,"blue-collar,married,secondary"
admin.,married,secondary,"admin.,married,secondary"
housemaid,divorced,unknown,"housemaid,divorced,unknown"
unknown,married,unknown,"unknown,married,unknown"
services,single,tertiary,"services,single,tertiary"
services,single,tertiary,"services,single,tertiary"
retired,married,secondary,"retired,married,secondary"
services,married,secondary,"services,married,secondary"
services,married,unknown,"services,married,unknown"
entrepreneur,divorced,tertiary,"entrepreneur,divorced,tertiary"
technician,married,secondary,"technician,married,secondary"
blue-collar,single,secondary,"blue-collar,single,secondary"
technician,married,tertiary,"technician,married,tertiary"
technician,divorced,primary,"technician,divorced,primary"
unknown,divorced,tertiary,"unknown,divorced,tertiary"
admin.,divorced,tertiary,"admin.,divorced,tertiary"
housemaid,single,unknown,"housemaid,single,unknown"
technician,single,secondary,"technician,single,secondary"
self-employed,divorced,unknown,"self-employed,divorced,unknown"
entrepreneur,divorced,primary,"entrepreneur,divorced,primary"
admin.,married,tertiary,"admin.,married,tertiary"
management,single,unknown,"management,single,unknown"
services,married,secondary,"services,married,secondary"
management,divorced,secondary,"management,divorced,secondary"
entrepreneur,married,unknown,"entrepreneur,married,unknown"
technician,divorced,tertiary,"technician,divorced,tertiary"
unknown,married,primary,"unknown,married,primary"
student,single,primary,"student,single,primary"
student,divorced,tertiary,"student,divorced,tertiary"
services,divorced,primary,"services,divorced,primary"
services,single,primary,"services,single,primary"
unknown,divorced,secondary,"unknown,divorced,secondary"
blue-collar,married,primary,"blue-collar,married,primary"
housemaid,single,tertiary,"housemaid,single,tertiary"
unemployed,divorced,tertiary,"unemployed,divorced,tertiary"
admin.,married,secondary,"admin.,married,secondary"
unknown,divorced,primary,"unknown,divorced,primary"
self-employed,married,tertiary,"self-employed,married,tertiary"
unemployed,single,primary,"unemployed,single,primary"
blue-collar,divorced,primary,"blue-collar,divorced,primary"
self-employed,divorced,primary,"self-employed,divorced,primary"
technician,married,unknown,"technician,married,unknown"
student,married,unknown,"student,married,unknown"
services,married,unknown,"services,married,unknown"
services,single,secondary,"services,single,secondary"
self-employed,married,unknown,"self-employed,married,unknown"
self-employed,divorced,primary,"self-employed,divorced,primary"
retired,single,primary,"retired,single,primary"
services,married,secondary,"services,married,secondary"
services,single,tertiary,"services,single,tertiary"
self-employed,single,primary,"self-employed,single,primary"
entrepreneur,single,tertiary,"entrepreneur,single,tertiary"
retired,married,unknown,"retired,married,unknown"
services,single,primary,"services,single,primary"
student,divorced,tertiary,"student,divorced,tertiary"
retired,married,unknown,"retired,married,unknown"
blue-collar,divorced,tertiary,"blue-collar,divorced,tertiary"
blue-collar,single,unknown,"blue-collar,single,unknown"
services,married,tertiary,"services,married,tertiary"
services,single,primary,"services,single,primary"
blue-collar,single,unknown,"blue-collar,single,unknown"
unemployed,married,tertiary,"unemployed,married,tertiary"
services,single,tertiary,"services,single,tertiary"
housemaid,single,unknown,"housemaid,single,unknown"
student,single,unknown,"student,single,unknown"
self-employed,divorced,primary,"self-employed,divorced,primary"
unknown,single,primary,"unknown,single,primary"
housemaid,single,tertiary,"housemaid,single,tertiary"
technician,single,unknown,"technician,single,unknown"
admin.,married,unknown,"admin.,married,unknown"
blue-collar,divorced,unknown,"blue-collar,divorced,unknown"
services,single,tertiary,"services,single,tertiary"
housemaid,married,secondary,"housemaid,married,secondary"
services,married,primary,"services,married,primary"
services,single,unknown,"services,single,unknown"
admin.,divorced,secondary,"admin.,divorced,secondary"
housemaid,married,primary,"housemaid,married,primary"
technician,married,primary,"technician,married,primary"
unemployed,divorced,primary,"unemployed,divorced,primary"
admin.,single,tertiary,"admin.,single,tertiary"
management,divorced,secondary,"management,divorced,secondary"
entrepreneur,divorced,unknown,"entrepreneur,divorced,unknown"
unknown,married,tertiary,"unknown,married,tertiary"
admin.,married,unknown,"admin.,married,unknown"
unemployed,married,secondary,"unemployed,married,secondary"
services,married,primary,"services,married,primary"
housemaid,married,secondary,"housemaid,married,secondary"
admin.,single,tertiary,"admin.,single,tertiary"
services,single,unknown,"services,single,unknown"
self-employed,single,unknown,"self-employed,single,unknown"
blue-collar,single,unknown,"blue-collar,single,unknown"
self-employed,single,unknown,"self-employed,single,unknown"
services,married,tertiary,"services,married,tertiary"
admin.,single,secondary,"admin.,single,secondary"
technician,single,unknown,"technician,single,unknown"
retired,married,secondary,"retired,married,secondary"
