job_title,department_name,length_of_service,employee_info
Produce Clerk,Dairy,21,"Produce Clerk,Dairy,21"
"Director, Compensation",Legal,18,"Director, Compensation,Legal,18"
Bakery Manager,Bakery,23,"Bakery Manager,Bakery,23"
"Exec Assistant, VP Stores",Accounts Payable,21,"Exec Assistant, VP Stores,Accounts Payable,21"
Labor Relations Analyst,Dairy,16,"Labor Relations Analyst,Dairy,16"
"Director, Audit",Meats,20,"Director, Audit,Meats,20"
Dairy Person,Bakery,17,"Dairy Person,Bakery,17"
Meat Cutter,Dairy,25,"Meat Cutter,Dairy,25"
Shelf Stocker,Customer Service,10,"Shelf Stocker,Customer Service,10"
"Director, Audit",Executive,24,"Director, Audit,Executive,24"
"Director, HR Technology",Executive,25,"Director, HR Technology,Executive,25"
Trainer,Investment,10,"Trainer,Investment,10"
"Director, Accounts Receivable",Executive,22,"Director, Accounts Receivable,Executive,22"
Investment Analyst,Labor Relations,20,"Investment Analyst,Labor Relations,20"
Recruiter,Accounts Payable,26,"Recruiter,Accounts Payable,26"
Dairy Person,Employee Records,17,"Dairy Person,Employee Records,17"
"Director, Accounts Receivable",Meats,23,"Director, Accounts Receivable,Meats,23"
Trainer,Produce,18,"Trainer,Produce,18"
"Exec Assistant, VP Stores",Recruitment,25,"Exec Assistant, VP Stores,Recruitment,25"
Customer Service Manager,Customer Service,24,"Customer Service Manager,Customer Service,24"
Dairy Person,Accounting,26,"Dairy Person,Accounting,26"
Cashier,Customer Service,21,"Cashier,Customer Service,21"
"Director, Training",Labor Relations,22,"Director, Training,Labor Relations,22"
Meat Cutter,Bakery,25,"Meat Cutter,Bakery,25"
VP Human Resources,HR Technology,25,"VP Human Resources,HR Technology,25"
Auditor,Bakery,6,"Auditor,Bakery,6"
Produce Clerk,Accounts Receiveable,23,"Produce Clerk,Accounts Receiveable,23"
Produce Manager,Executive,19,"Produce Manager,Executive,19"
"Exec Assistant, VP Stores",Executive,25,"Exec Assistant, VP Stores,Executive,25"
Accounting Clerk,Accounts Payable,14,"Accounting Clerk,Accounts Payable,14"
Dairy Person,Produce,25,"Dairy Person,Produce,25"
"Director, Training",Dairy,13,"Director, Training,Dairy,13"
"Director, Recruitment",Produce,20,"Director, Recruitment,Produce,20"
"Director, Accounting",Investment,25,"Director, Accounting,Investment,25"
VP Stores,Executive,25,"VP Stores,Executive,25"
"Exec Assistant, Legal Counsel",Executive,24,"Exec Assistant, Legal Counsel,Executive,24"
Corporate Lawyer,Customer Service,25,"Corporate Lawyer,Customer Service,25"
VP Finance,Executive,20,"VP Finance,Executive,20"
Customer Service Manager,Dairy,22,"Customer Service Manager,Dairy,22"
"Director, Recruitment",Executive,26,"Director, Recruitment,Executive,26"
Customer Service Manager,Accounts Receiveable,13,"Customer Service Manager,Accounts Receiveable,13"
VP Stores,Dairy,26,"VP Stores,Dairy,26"
Meat Cutter,HR Technology,16,"Meat Cutter,HR Technology,16"
CEO,Executive,25,"CEO,Executive,25"
VP Finance,Meats,26,"VP Finance,Meats,26"
VP Finance,Recruitment,26,"VP Finance,Recruitment,26"
Shelf Stocker,Accounts Payable,19,"Shelf Stocker,Accounts Payable,19"
Cashier,Processed Foods,12,"Cashier,Processed Foods,12"
Investment Analyst,Recruitment,23,"Investment Analyst,Recruitment,23"
"Director, Recruitment",Executive,24,"Director, Recruitment,Executive,24"
Produce Clerk,Bakery,15,"Produce Clerk,Bakery,15"
VP Human Resources,Recruitment,26,"VP Human Resources,Recruitment,26"
Legal Counsel,Produce,22,"Legal Counsel,Produce,22"
"Director, Accounts Receivable",Executive,17,"Director, Accounts Receivable,Executive,17"
Produce Manager,Executive,24,"Produce Manager,Executive,24"
VP Stores,Executive,23,"VP Stores,Executive,23"
Meat Cutter,Bakery,24,"Meat Cutter,Bakery,24"
Cashier,Customer Service,11,"Cashier,Customer Service,11"
CEO,Executive,24,"CEO,Executive,24"
Processed Foods Manager,Accounting,24,"Processed Foods Manager,Accounting,24"
Cashier,Customer Service,11,"Cashier,Customer Service,11"
Recruiter,Employee Records,25,"Recruiter,Employee Records,25"
Baker,Produce,21,"Baker,Produce,21"
Dairy Manager,Store Management,19,"Dairy Manager,Store Management,19"
VP Stores,Executive,24,"VP Stores,Executive,24"
Investment Analyst,Accounts Receiveable,21,"Investment Analyst,Accounts Receiveable,21"
"Exec Assistant, Finance",Executive,25,"Exec Assistant, Finance,Executive,25"
Dairy Person,Store Management,24,"Dairy Person,Store Management,24"
Shelf Stocker,Processed Foods,18,"Shelf Stocker,Processed Foods,18"
