flight_number,departure,destination,flight_details
Nt693,Port Heather,Cathyhaven,"Nt693,Port Heather,Cathyhaven"
lZ069,Samuelstad,West Gregory,"lZ069,Samuelstad,West Gregory"
Zt882,New Renee,Harrisville,"Zt882,New Renee,Harrisville"
LZ830,Gregoryton,New Dawnshire,"LZ830,Gregoryton,New Dawnshire"
wr512,Castromouth,Gabrielleview,"wr512,Castromouth,Gabrielleview"
ds226,Finleymouth,North Aliciatown,"ds226,Finleymouth,North Aliciatown"
UO376,Michelefort,Kennethland,"UO376,Michelefort,Kennethland"
Fb473,Davisland,East Kathleenside,"Fb473,Davisland,East Kathleenside"
lx201,Lake Andrewview,South Jasonmouth,"lx201,Lake Andrewview,South Jasonmouth"
Da963,Heathton,East Tiffanymouth,"Da963,Heathton,East Tiffanymouth"
pU563,North Angelica,Port Stevenmouth,"pU563,North Angelica,Port Stevenmouth"
uk966,Tranfort,North Christina,"uk966,Tranfort,North Christina"
XQ902,Jeremyberg,Lauraborough,"XQ902,Jeremyberg,Lauraborough"
Hb096,South Jeremy,Carpenterland,"Hb096,South Jeremy,Carpenterland"
yp424,Leonardborough,New Jessica,"yp424,Leonardborough,New Jessica"
UD231,Williamschester,New Tracyville,"UD231,Williamschester,New Tracyville"
Ve027,Snyderchester,Huffmanfurt,"Ve027,Snyderchester,Huffmanfurt"
Is136,West Victoria,Spencerton,"Is136,West Victoria,Spencerton"
Ob945,Port Wandabury,Lake Thomasberg,"Ob945,Port Wandabury,Lake Thomasberg"
VE522,Madisonburgh,South Sarahbury,"VE522,Madisonburgh,South Sarahbury"
tk806,North Curtis,Kaylaport,"tk806,North Curtis,Kaylaport"
zq619,Robertsonville,New Sandraborough,"zq619,Robertsonville,New Sandraborough"
aY925,New William,Port Zachary,"aY925,New William,Port Zachary"
dU819,West Hollyton,South Patrick,"dU819,West Hollyton,South Patrick"
aG931,Andersonland,Port Denise,"aG931,Andersonland,Port Denise"
OE931,Lake Amyfort,Odomton,"OE931,Lake Amyfort,Odomton"
ff564,Saraport,Joshuashire,"ff564,Saraport,Joshuashire"
TE655,Medinabury,Davidburgh,"TE655,Medinabury,Davidburgh"
gI015,Perrystad,Jeffreyburgh,"gI015,Perrystad,Jeffreyburgh"
dX514,Bradfordborough,Jamiefort,"dX514,Bradfordborough,Jamiefort"
gj454,Mccartyborough,Port Haroldstad,"gj454,Mccartyborough,Port Haroldstad"
nZ603,New Meganchester,Gardnerton,"nZ603,New Meganchester,Gardnerton"
jT042,South Debbie,Port Herbertland,"jT042,South Debbie,Port Herbertland"
Rk360,West Crystalbury,Lake Michael,"Rk360,West Crystalbury,Lake Michael"
In182,Lake Rebekahside,Jaredside,"In182,Lake Rebekahside,Jaredside"
we907,North Anthony,North Jaredmouth,"we907,North Anthony,North Jaredmouth"
CE139,Lake Suzanne,East Nicholasfort,"CE139,Lake Suzanne,East Nicholasfort"
ko202,Nelsonfurt,Donaldton,"ko202,Nelsonfurt,Donaldton"
Fm738,Margaretfort,New Jackieborough,"Fm738,Margaretfort,New Jackieborough"
KH938,North Maureen,Stanleyfurt,"KH938,North Maureen,Stanleyfurt"
dg227,Georgechester,Port Diana,"dg227,Georgechester,Port Diana"
VT607,Lopezport,Hallborough,"VT607,Lopezport,Hallborough"
Ob702,Lake Marytown,West Benjamin,"Ob702,Lake Marytown,West Benjamin"
iB818,Lake David,New Patricia,"iB818,Lake David,New Patricia"
EQ010,Jacquelinebury,Robersonfort,"EQ010,Jacquelinebury,Robersonfort"
Tg773,Port Stephanieport,Port Travis,"Tg773,Port Stephanieport,Port Travis"
nX333,South Ashleymouth,Russofort,"nX333,South Ashleymouth,Russofort"
cF951,West Todd,New Erinview,"cF951,West Todd,New Erinview"
Xz162,Lake Nicoleview,Douglaston,"Xz162,Lake Nicoleview,Douglaston"
aW541,South Phillip,Smithton,"aW541,South Phillip,Smithton"
Kk083,South Derek,South Kenneth,"Kk083,South Derek,South Kenneth"
YI434,Lake Christopherfurt,Robertamouth,"YI434,Lake Christopherfurt,Robertamouth"
LD479,Morrowstad,South Scott,"LD479,Morrowstad,South Scott"
gx248,Lake Matthewville,New Ernest,"gx248,Lake Matthewville,New Ernest"
qX971,New Jenniferstad,West Racheltown,"qX971,New Jenniferstad,West Racheltown"
wi113,Jasmineport,East John,"wi113,Jasmineport,East John"
XN042,Jamestown,South Brenda,"XN042,Jamestown,South Brenda"
su651,East Dawnside,Hillland,"su651,East Dawnside,Hillland"
We037,Hughesview,East Micheleview,"We037,Hughesview,East Micheleview"
yG844,North Karenberg,Harrismouth,"yG844,North Karenberg,Harrismouth"
OR755,West Amanda,Frankfurt,"OR755,West Amanda,Frankfurt"
Ts308,South Matthewmouth,Jonesmouth,"Ts308,South Matthewmouth,Jonesmouth"
Mu861,Woodschester,Lake Meganside,"Mu861,Woodschester,Lake Meganside"
rF536,Port Shelbyport,Donnatown,"rF536,Port Shelbyport,Donnatown"
Uy643,West Michaelport,Katieborough,"Uy643,West Michaelport,Katieborough"
Ha917,Paulhaven,Port Kelly,"Ha917,Paulhaven,Port Kelly"
Yn410,Nixonhaven,South Jessica,"Yn410,Nixonhaven,South Jessica"
rd216,East Craigton,New Mirandafort,"rd216,East Craigton,New Mirandafort"
Sk569,South Debbie,Lawrenceview,"Sk569,South Debbie,Lawrenceview"
jy093,Ericashire,New Josephport,"jy093,Ericashire,New Josephport"
Ie122,Danielland,Port Tammytown,"Ie122,Danielland,Port Tammytown"
bq401,Port Melanie,Lake Pamelaville,"bq401,Port Melanie,Lake Pamelaville"
Vi120,Aaronview,East Mirandafurt,"Vi120,Aaronview,East Mirandafurt"
Cg720,Greenechester,South Travisberg,"Cg720,Greenechester,South Travisberg"
nr411,South Ian,Medinaberg,"nr411,South Ian,Medinaberg"
KX298,Kristinmouth,Port Adam,"KX298,Kristinmouth,Port Adam"
El499,Maryland,Simonbury,"El499,Maryland,Simonbury"
UK839,East Michaelton,Lake Seanshire,"UK839,East Michaelton,Lake Seanshire"
lL174,West Sarahview,West Kevinview,"lL174,West Sarahview,West Kevinview"
IK338,Stricklandville,Curtisberg,"IK338,Stricklandville,Curtisberg"
bl148,North Alan,Jonesbury,"bl148,North Alan,Jonesbury"
FF871,East Jennifer,Port Joseph,"FF871,East Jennifer,Port Joseph"
WR853,Sharptown,East Dennisbury,"WR853,Sharptown,East Dennisbury"
Zv650,Jessicaville,North Amy,"Zv650,Jessicaville,North Amy"
nF699,South Anita,Harmonland,"nF699,South Anita,Harmonland"
Fd535,New Rhondamouth,Dianatown,"Fd535,New Rhondamouth,Dianatown"
ka243,Port Brianfort,East Sharon,"ka243,Port Brianfort,East Sharon"
Co604,Allisonstad,Ambermouth,"Co604,Allisonstad,Ambermouth"
Sv815,Wonghaven,Moseston,"Sv815,Wonghaven,Moseston"
mw370,South Samuelport,New Davidmouth,"mw370,South Samuelport,New Davidmouth"
mC141,Castrostad,Tylershire,"mC141,Castrostad,Tylershire"
yZ104,East Williamberg,Gallagherland,"yZ104,East Williamberg,Gallagherland"
OT706,Kristinfurt,Pamelamouth,"OT706,Kristinfurt,Pamelamouth"
qs434,Nicholasport,New Patricia,"qs434,Nicholasport,New Patricia"
