order_number,order_date,product_price,order_details
13952,2019-04-25 17:35:36,8.88,"13952,2019-04-25 17:35:36,8.88"
9315,2018-05-23 22:31:47,1.47,"9315,2018-05-23 22:31:47,1.47"
9182,2018-05-11 17:32:34,6.68,"9182,2018-05-11 17:32:34,6.68"
7454,2018-01-14 08:11:26,3.37,"7454,2018-01-14 08:11:26,3.37"
13278,2019-03-31 12:14:53,3.32,"13278,2019-03-31 12:14:53,3.32"
8389,2018-01-18 12:52:35,1.98,"8389,2018-01-18 12:52:35,1.98"
11043,2018-10-15 14:47:33,2.12,"11043,2018-10-15 14:47:33,2.12"
10697,2018-09-19 00:26:39,14.42,"10697,2018-09-19 00:26:39,14.42"
15916,2019-08-01 06:53:13,4.67,"15916,2019-08-01 06:53:13,4.67"
6317,2017-05-27 19:37:37,3.86,"6317,2017-05-27 19:37:37,3.86"
4558,2016-11-24 11:56:39,5.0,"4558,2016-11-24 11:56:39,5.0"
13679,2019-04-27 01:27:24,0.86,"13679,2019-04-27 01:27:24,0.86"
6314,2017-05-30 12:35:38,1.77,"6314,2017-05-30 12:35:38,1.77"
11966,2018-11-04 12:33:00,3.52,"11966,2018-11-04 12:33:00,3.52"
8309,2018-02-03 06:48:38,13.97,"8309,2018-02-03 06:48:38,13.97"
10364,2018-08-02 06:04:53,1.43,"10364,2018-08-02 06:04:53,1.43"
7013,2017-09-07 02:34:20,4.41,"7013,2017-09-07 02:34:20,4.41"
11033,2018-09-24 20:20:02,2.45,"11033,2018-09-24 20:20:02,2.45"
4174,2016-12-04 00:34:14,6.64,"4174,2016-12-04 00:34:14,6.64"
12143,2019-01-29 20:31:03,12.35,"12143,2019-01-29 20:31:03,12.35"
8097,2018-01-23 19:02:11,15.02,"8097,2018-01-23 19:02:11,15.02"
15481,2019-07-16 14:50:45,12.47,"15481,2019-07-16 14:50:45,12.47"
7327,2017-10-31 08:38:31,2.89,"7327,2017-10-31 08:38:31,2.89"
9296,2018-04-18 01:33:31,12.09,"9296,2018-04-18 01:33:31,12.09"
3960,2016-11-26 15:44:24,6.97,"3960,2016-11-26 15:44:24,6.97"
14640,2019-06-06 22:29:57,0.59,"14640,2019-06-06 22:29:57,0.59"
12286,2018-12-08 19:16:18,9.21,"12286,2018-12-08 19:16:18,9.21"
6334,2017-05-27 05:10:56,0.85,"6334,2017-05-27 05:10:56,0.85"
3023,2016-06-27 16:59:42,6.01,"3023,2016-06-27 16:59:42,6.01"
14019,2019-04-30 01:27:43,1.96,"14019,2019-04-30 01:27:43,1.96"
8304,2018-01-29 14:02:36,9.29,"8304,2018-01-29 14:02:36,9.29"
11818,2019-01-19 14:55:37,1.19,"11818,2019-01-19 14:55:37,1.19"
8563,2018-03-24 04:03:23,2.72,"8563,2018-03-24 04:03:23,2.72"
8919,2018-04-23 19:28:01,13.4,"8919,2018-04-23 19:28:01,13.4"
1660,2016-01-14 01:36:52,3.21,"1660,2016-01-14 01:36:52,3.21"
3758,2016-09-17 19:46:16,2.84,"3758,2016-09-17 19:46:16,2.84"
10843,2018-11-21 19:22:40,13.63,"10843,2018-11-21 19:22:40,13.63"
4509,2016-12-27 04:13:12,0.83,"4509,2016-12-27 04:13:12,0.83"
11418,2018-11-21 02:10:19,8.09,"11418,2018-11-21 02:10:19,8.09"
2268,2016-03-02 02:06:19,14.57,"2268,2016-03-02 02:06:19,14.57"
12286,2019-01-14 08:23:00,1.04,"12286,2019-01-14 08:23:00,1.04"
4387,2017-03-18 15:55:01,13.32,"4387,2017-03-18 15:55:01,13.32"
11308,2018-10-10 00:30:14,1.37,"11308,2018-10-10 00:30:14,1.37"
918,2015-10-08 12:03:48,1.0,"918,2015-10-08 12:03:48,1.0"
3180,2016-07-31 07:55:35,8.51,"3180,2016-07-31 07:55:35,8.51"
3402,2016-09-04 04:52:35,9.02,"3402,2016-09-04 04:52:35,9.02"
13892,2019-04-14 15:40:33,6.02,"13892,2019-04-14 15:40:33,6.02"
15525,2019-07-17 11:24:38,3.48,"15525,2019-07-17 11:24:38,3.48"
10870,2018-07-23 11:33:52,6.02,"10870,2018-07-23 11:33:52,6.02"
4930,2017-01-15 10:44:32,4.03,"4930,2017-01-15 10:44:32,4.03"
13940,2019-04-16 12:21:32,2.49,"13940,2019-04-16 12:21:32,2.49"
2563,2016-05-25 20:11:43,12.03,"2563,2016-05-25 20:11:43,12.03"
5300,2017-06-04 06:38:33,2.18,"5300,2017-06-04 06:38:33,2.18"
7204,2017-08-31 08:26:57,0.67,"7204,2017-08-31 08:26:57,0.67"
5358,2017-02-19 23:14:57,4.18,"5358,2017-02-19 23:14:57,4.18"
2878,2016-07-06 08:58:08,1.46,"2878,2016-07-06 08:58:08,1.46"
10538,2018-08-18 06:41:35,8.64,"10538,2018-08-18 06:41:35,8.64"
15765,2019-07-27 20:28:33,3.61,"15765,2019-07-27 20:28:33,3.61"
1484,2015-12-24 19:40:49,1.1,"1484,2015-12-24 19:40:49,1.1"
10352,2018-08-21 22:36:40,9.21,"10352,2018-08-21 22:36:40,9.21"
16041,2019-08-02 17:32:02,5.92,"16041,2019-08-02 17:32:02,5.92"
8002,2017-12-13 17:31:01,8.95,"8002,2017-12-13 17:31:01,8.95"
11613,2018-10-21 18:41:36,5.62,"11613,2018-10-21 18:41:36,5.62"
9670,2018-04-17 08:02:42,1.94,"9670,2018-04-17 08:02:42,1.94"
2265,2016-04-01 10:36:09,1.77,"2265,2016-04-01 10:36:09,1.77"
12602,2019-01-07 22:54:23,6.34,"12602,2019-01-07 22:54:23,6.34"
1994,2016-01-10 01:45:03,2.16,"1994,2016-01-10 01:45:03,2.16"
7020,2017-08-13 02:33:23,4.96,"7020,2017-08-13 02:33:23,4.96"
