country,rank,year,passport_info
Central African Republic,88,2010,"Central African Republic,88,2010"
Nauru,51,2019,"Nauru,51,2019"
Bahrain,49,2012,"Bahrain,49,2012"
Fiji,22,2016,"Fiji,22,2016"
Algeria,80,2016,"Algeria,80,2016"
Ukraine,50,2018,"Ukraine,50,2018"
Zambia,66,2018,"Zambia,66,2018"
Ghana,63,2007,"Ghana,63,2007"
Iraq,104,2015,"Iraq,104,2015"
United Arab Emirates,35,2015,"United Arab Emirates,35,2015"
Canada,17,2013,"Canada,17,2013"
Guinea-Bissau,83,2021,"Guinea-Bissau,83,2021"
Cyprus,34,2018,"Cyprus,34,2018"
Jamaica,81,2016,"Jamaica,81,2016"
Turkey,44,2007,"Turkey,44,2007"
Maldives,64,2019,"Maldives,64,2019"
St. Vincent and the Grenadines,36,2014,"St. Vincent and the Grenadines,36,2014"
Saudi Arabia,70,2017,"Saudi Arabia,70,2017"
Cyprus,7,2011,"Cyprus,7,2011"
Central African Republic,68,2008,"Central African Republic,68,2008"
Kuwait,39,2006,"Kuwait,39,2006"
North Korea,100,2008,"North Korea,100,2008"
Ukraine,34,2016,"Ukraine,34,2016"
Belize,57,2008,"Belize,57,2008"
Bulgaria,6,2011,"Bulgaria,6,2011"
Turkmenistan,93,2022,"Turkmenistan,93,2022"
Indonesia,82,2010,"Indonesia,82,2010"
Slovenia,36,2020,"Slovenia,36,2020"
New Zealand,5,2012,"New Zealand,5,2012"
Cambodia,89,2019,"Cambodia,89,2019"
Marshall Islands,45,2009,"Marshall Islands,45,2009"
Vietnam,63,2020,"Vietnam,63,2020"
Qatar,41,2017,"Qatar,41,2017"
Saudi Arabia,45,2007,"Saudi Arabia,45,2007"
Finland,3,2015,"Finland,3,2015"
United States,8,2016,"United States,8,2016"
Algeria,51,2007,"Algeria,51,2007"
Lithuania,11,2021,"Lithuania,11,2021"
Rwanda,67,2011,"Rwanda,67,2011"
Luxembourg,4,2006,"Luxembourg,4,2006"
Sierra Leone,76,2020,"Sierra Leone,76,2020"
Nicaragua,4,2007,"Nicaragua,4,2007"
Oman,73,2019,"Oman,73,2019"
Japan,1,2020,"Japan,1,2020"
Czech Republic,5,2010,"Czech Republic,5,2010"
Slovakia,5,2009,"Slovakia,5,2009"
Guinea,90,2013,"Guinea,90,2013"
Bangladesh,101,2016,"Bangladesh,101,2016"
Marshall Islands,76,2012,"Marshall Islands,76,2012"
Slovakia,18,2014,"Slovakia,18,2014"
Cote d'Ivoire,90,2018,"Cote d'Ivoire,90,2018"
United States,3,2007,"United States,3,2007"
Ukraine,8,2018,"Ukraine,8,2018"
Bulgaria,44,2021,"Bulgaria,44,2021"
Slovakia,23,2014,"Slovakia,23,2014"
United Kingdom,4,2019,"United Kingdom,4,2019"
Lesotho,65,2010,"Lesotho,65,2010"
Yemen,102,2016,"Yemen,102,2016"
South Korea,2,2019,"South Korea,2,2019"
Zambia,60,2010,"Zambia,60,2010"
Iraq,110,2014,"Iraq,110,2014"
Guatemala,46,2010,"Guatemala,46,2010"
Saudi Arabia,77,2013,"Saudi Arabia,77,2013"
Peru,67,2018,"Peru,67,2018"
Austria,3,2018,"Austria,3,2018"
Uganda,83,2012,"Uganda,83,2012"
Singapore,5,2017,"Singapore,5,2017"
Andorra,41,2013,"Andorra,41,2013"
South Sudan,94,2012,"South Sudan,94,2012"
Myanmar,93,2009,"Myanmar,93,2009"
Sweden,2,2011,"Sweden,2,2011"
Comoro Islands,63,2014,"Comoro Islands,63,2014"
Burkina Faso,69,2013,"Burkina Faso,69,2013"
Gabon,86,2012,"Gabon,86,2012"
Turkmenistan,89,2014,"Turkmenistan,89,2014"
Samoa,44,2006,"Samoa,44,2006"
Trinidad and Tobago,51,2015,"Trinidad and Tobago,51,2015"
Mozambique,68,2018,"Mozambique,68,2018"
Netherlands,7,2022,"Netherlands,7,2022"
Mauritius,59,2008,"Mauritius,59,2008"
Belize,38,2011,"Belize,38,2011"
Dominican Republic,56,2020,"Dominican Republic,56,2020"
Moldova,57,2022,"Moldova,57,2022"
South Korea,3,2015,"South Korea,3,2015"
Madagascar,82,2014,"Madagascar,82,2014"
Malta,7,2011,"Malta,7,2011"
Sao Tome and Principe,77,2007,"Sao Tome and Principe,77,2007"
Sri Lanka,89,2016,"Sri Lanka,89,2016"
Angola,92,2014,"Angola,92,2014"
Switzerland,26,2022,"Switzerland,26,2022"
Belgium,11,2021,"Belgium,11,2021"
Mozambique,73,2021,"Mozambique,73,2021"
Zimbabwe,72,2013,"Zimbabwe,72,2013"
St. Kitts and Nevis,52,2009,"St. Kitts and Nevis,52,2009"
Oman,68,2009,"Oman,68,2009"
Zambia,82,2010,"Zambia,82,2010"
Equatorial Guinea,89,2012,"Equatorial Guinea,89,2012"
Mexico,46,2018,"Mexico,46,2018"
Thailand,60,2016,"Thailand,60,2016"
The Gambia,76,2009,"The Gambia,76,2009"
Jordan,77,2017,"Jordan,77,2017"
India,58,2017,"India,58,2017"
Russian Federation,54,2016,"Russian Federation,54,2016"
Nicaragua,55,2016,"Nicaragua,55,2016"
Guatemala,51,2018,"Guatemala,51,2018"
Senegal,91,2012,"Senegal,91,2012"
Poland,5,2011,"Poland,5,2011"
Antigua and Barbuda,55,2018,"Antigua and Barbuda,55,2018"
Germany,6,2020,"Germany,6,2020"
Sierra Leone,64,2006,"Sierra Leone,64,2006"
Cuba,71,2013,"Cuba,71,2013"
Belgium,11,2012,"Belgium,11,2012"
Liechtenstein,15,2008,"Liechtenstein,15,2008"
Estonia,20,2017,"Estonia,20,2017"
Oman,52,2009,"Oman,52,2009"
Barbados,45,2017,"Barbados,45,2017"
Romania,12,2009,"Romania,12,2009"
Syria,102,2008,"Syria,102,2008"
Niger,65,2014,"Niger,65,2014"
Mongolia,73,2007,"Mongolia,73,2007"
Malta,21,2009,"Malta,21,2009"
Grenada,56,2018,"Grenada,56,2018"
Kenya,62,2014,"Kenya,62,2014"
Venezuela,48,2017,"Venezuela,48,2017"
Slovenia,22,2017,"Slovenia,22,2017"
Turkey,79,2007,"Turkey,79,2007"
Mali,75,2020,"Mali,75,2020"
Benin,83,2018,"Benin,83,2018"
Cape Verde Islands,75,2015,"Cape Verde Islands,75,2015"
The Gambia,69,2018,"The Gambia,69,2018"
Turkey,56,2012,"Turkey,56,2012"
South Sudan,97,2015,"South Sudan,97,2015"
Libya,98,2014,"Libya,98,2014"
Rwanda,29,2014,"Rwanda,29,2014"
Guatemala,54,2011,"Guatemala,54,2011"
Romania,18,2017,"Romania,18,2017"
Mongolia,60,2007,"Mongolia,60,2007"
South Sudan,87,2010,"South Sudan,87,2010"
Tuvalu,42,2017,"Tuvalu,42,2017"
Lesotho,84,2012,"Lesotho,84,2012"
