brand,product_name,category,product_info
Gucci,T-shirt,Kids' Fashion,"Gucci,T-shirt,Kids' Fashion"
Gucci,Shoes,Men's Fashion,"Gucci,Shoes,Men's Fashion"
Gucci,Jeans,Women's Fashion,"Gucci,Jeans,Women's Fashion"
Nike,T-shirt,Men's Fashion,"Nike,T-shirt,Men's Fashion"
Nike,Shoes,Women's Fashion,"Nike,Shoes,Women's Fashion"
H&M,Shoes,Women's Fashion,"H&M,Shoes,Women's Fashion"
Gucci,Shoes,Women's Fashion,"Gucci,Shoes,Women's Fashion"
Nike,Sweater,Kids' Fashion,"Nike,Sweater,Kids' Fashion"
Nike,Dress,Kids' Fashion,"Nike,Dress,Kids' Fashion"
Adidas,T-shirt,Women's Fashion,"Adidas,T-shirt,Women's Fashion"
Adidas,Jeans,Women's Fashion,"Adidas,Jeans,Women's Fashion"
Nike,Dress,Women's Fashion,"Nike,Dress,Women's Fashion"
Adidas,Shoes,Women's Fashion,"Adidas,Shoes,Women's Fashion"
Adidas,Shoes,Kids' Fashion,"Adidas,Shoes,Kids' Fashion"
Gucci,Sweater,Kids' Fashion,"Gucci,Sweater,Kids' Fashion"
Zara,Dress,Women's Fashion,"Zara,Dress,Women's Fashion"
H&M,T-shirt,Women's Fashion,"H&M,T-shirt,Women's Fashion"
Zara,Shoes,Women's Fashion,"Zara,Shoes,Women's Fashion"
Zara,Sweater,Men's Fashion,"Zara,Sweater,Men's Fashion"
Nike,Sweater,Women's Fashion,"Nike,Sweater,Women's Fashion"
Gucci,Sweater,Kids' Fashion,"Gucci,Sweater,Kids' Fashion"
Nike,T-shirt,Kids' Fashion,"Nike,T-shirt,Kids' Fashion"
Zara,T-shirt,Women's Fashion,"Zara,T-shirt,Women's Fashion"
Zara,Sweater,Kids' Fashion,"Zara,Sweater,Kids' Fashion"
Gucci,Sweater,Men's Fashion,"Gucci,Sweater,Men's Fashion"
Gucci,Dress,Kids' Fashion,"Gucci,Dress,Kids' Fashion"
H&M,T-shirt,Kids' Fashion,"H&M,T-shirt,Kids' Fashion"
Adidas,Dress,Women's Fashion,"Adidas,Dress,Women's Fashion"
