size,color,price,product_specs
L,Red,71,"L,Red,71"
L,Yellow,36,"L,Yellow,36"
L,White,76,"L,White,76"
XL,Black,76,"XL,Black,76"
XL,Blue,56,"XL,Blue,56"
S,White,29,"S,White,29"
XL,White,42,"XL,White,42"
L,Blue,97,"L,Blue,97"
XL,Red,73,"XL,Red,73"
M,Blue,35,"M,Blue,35"
M,White,44,"M,White,44"
XL,White,27,"XL,White,27"
M,White,22,"M,White,22"
M,Red,27,"M,Red,27"
S,Blue,95,"S,Blue,95"
L,White,27,"L,White,27"
S,White,50,"S,White,50"
L,Blue,35,"L,Blue,35"
S,Black,77,"S,Black,77"
XL,White,97,"XL,White,97"
S,White,98,"S,White,98"
L,Red,87,"L,Red,87"
L,Yellow,47,"L,Yellow,47"
S,Green,86,"S,Green,86"
L,Black,85,"L,Black,85"
XL,Green,13,"XL,Green,13"
M,Red,61,"M,Red,61"
M,White,14,"M,White,14"
M,Black,63,"M,Black,63"
L,Green,28,"L,Green,28"
S,White,81,"S,White,81"
XL,Black,50,"XL,Black,50"
L,Yellow,54,"L,Yellow,54"
L,White,97,"L,White,97"
M,Black,46,"M,Black,46"
M,Yellow,39,"M,Yellow,39"
XL,Black,99,"XL,Black,99"
S,Black,21,"S,Black,21"
L,White,83,"L,White,83"
M,White,87,"M,White,87"
XL,White,25,"XL,White,25"
XL,Black,100,"XL,Black,100"
L,Blue,22,"L,Blue,22"
M,Black,20,"M,Black,20"
M,Black,82,"M,Black,82"
S,Black,87,"S,Black,87"
S,Red,48,"S,Red,48"
XL,Red,37,"XL,Red,37"
M,Red,36,"M,Red,36"
M,White,42,"M,White,42"
L,Red,26,"L,Red,26"
M,Black,95,"M,Black,95"
XL,Black,68,"XL,Black,68"
S,White,13,"S,White,13"
M,White,39,"M,White,39"
S,Black,40,"S,Black,40"
S,Blue,76,"S,Blue,76"
XL,Red,51,"XL,Red,51"
M,Black,25,"M,Black,25"
L,White,86,"L,White,86"
XL,Red,50,"XL,Red,50"
S,Blue,74,"S,Blue,74"
S,Red,46,"S,Red,46"
M,Green,20,"M,Green,20"
M,Black,34,"M,Black,34"
S,Red,49,"S,Red,49"
M,Blue,14,"M,Blue,14"
M,Blue,43,"M,Blue,43"
L,Red,68,"L,Red,68"
L,Red,80,"L,Red,80"
S,Black,81,"S,Black,81"
XL,Yellow,84,"XL,Yellow,84"
XL,White,76,"XL,White,76"
S,Red,56,"S,Red,56"
L,Red,57,"L,Red,57"
M,Green,96,"M,Green,96"
M,Blue,38,"M,Blue,38"
XL,Yellow,45,"XL,Yellow,45"
S,Black,11,"S,Black,11"
M,Red,65,"M,Red,65"
L,Yellow,81,"L,Yellow,81"
XL,Yellow,41,"XL,Yellow,41"
XL,Yellow,13,"XL,Yellow,13"
M,Black,46,"M,Black,46"
L,Green,56,"L,Green,56"
M,Yellow,73,"M,Yellow,73"
S,Red,93,"S,Red,93"
XL,Blue,66,"XL,Blue,66"
L,Red,48,"L,Red,48"
M,White,12,"M,White,12"
M,Yellow,14,"M,Yellow,14"
XL,Yellow,21,"XL,Yellow,21"
L,Blue,64,"L,Blue,64"
M,Green,62,"M,Green,62"
S,Green,77,"S,Green,77"
