title,type,country,show_info
Red vs. Blue,Movie,United States,"Red vs. Blue,Movie,United States"
The Coldest Game,Movie,Egypt,"The Coldest Game,Movie,Egypt"
Taxi Driver,Movie,India,"Taxi Driver,Movie,India"
Cuckoo,Movie,Canada,"Cuckoo,Movie,Canada"
The Babysitter,Movie,"Australia, United States","The Babysitter,Movie,Australia, United States"
Adel Karam: Live from Beirut,TV Show,"United States, Canada","Adel Karam: Live from Beirut,TV Show,United States, Canada"
Merku Thodarchi Malai,Movie,"Canada, United States","Merku Thodarchi Malai,Movie,Canada, United States"
Olympus Has Fallen,Movie,United States,"Olympus Has Fallen,Movie,United States"
Neruda,Movie,Canada,"Neruda,Movie,Canada"
Amelia: A Tale of Two Sisters,TV Show,India,"Amelia: A Tale of Two Sisters,TV Show,India"
Green Door,TV Show,United States,"Green Door,TV Show,United States"
The Method,Movie,"Malaysia, Singapore, Hong Kong","The Method,Movie,Malaysia, Singapore, Hong Kong"
What She Put on the Table,TV Show,South Korea,"What She Put on the Table,TV Show,South Korea"
The First Wives Club,TV Show,United Kingdom,"The First Wives Club,TV Show,United Kingdom"
Echo in the Canyon,Movie,United States,"Echo in the Canyon,Movie,United States"
Noddy Toyland Detective,Movie,Thailand,"Noddy Toyland Detective,Movie,Thailand"
My Dear Boy,Movie,India,"My Dear Boy,Movie,India"
H2O: Mermaid Adventures,Movie,Spain,"H2O: Mermaid Adventures,Movie,Spain"
Green Zone,Movie,United States,"Green Zone,Movie,United States"
Love 101,Movie,United States,"Love 101,Movie,United States"
El Dragón: Return of a Warrior,Movie,United States,"El Dragón: Return of a Warrior,Movie,United States"
The Pyramid Code,Movie,United States,"The Pyramid Code,Movie,United States"
Agneepath,Movie,"United Kingdom, United States","Agneepath,Movie,United Kingdom, United States"
Demonic,Movie,United States,"Demonic,Movie,United States"
Fantastic Fungi,Movie,India,"Fantastic Fungi,Movie,India"
Sherlock Holmes,Movie,"United States, India, Bangladesh","Sherlock Holmes,Movie,United States, India, Bangladesh"
Sweet Virginia,Movie,United States,"Sweet Virginia,Movie,United States"
Tini: The New Life of Violetta,TV Show,"France, Belgium","Tini: The New Life of Violetta,TV Show,France, Belgium"
Black Rose,TV Show,United States,"Black Rose,TV Show,United States"
