brand_name,model_name,os,phone_info
Google,iPhone 12 128GB Dual Sim Black (MGGU3),Android,"Google,iPhone 12 128GB Dual Sim Black (MGGU3),Android"
Motorola,Galaxy A50s SM-A5070 6/128GB Prism Crush Green,Android,"Motorola,Galaxy A50s SM-A5070 6/128GB Prism Crush Green,Android"
Samsung,Galaxy S9 SM-G960 DS 128GB Grey (SM-G960FZAG),Android,"Samsung,Galaxy S9 SM-G960 DS 128GB Grey (SM-G960FZAG),Android"
Samsung,A73 4/128GB Navy Blue,Android,"Samsung,A73 4/128GB Navy Blue,Android"
vivo,Redmi 9T 4/64GB Sunrise Orange,Android,"vivo,Redmi 9T 4/64GB Sunrise Orange,Android"
DOOGEE,Galaxy S8 G950F Single Sim 64GB Black,Android,"DOOGEE,Galaxy S8 G950F Single Sim 64GB Black,Android"
Samsung,Mi 10 Lite 6/128GB Cosmic Grey,Android,"Samsung,Mi 10 Lite 6/128GB Cosmic Grey,Android"
ASUS,Redmi Note 5 3/32GB Gold,Android,"ASUS,Redmi Note 5 3/32GB Gold,Android"
Apple,iPhone 7 256GB Black (MN972),iOS,"Apple,iPhone 7 256GB Black (MN972),iOS"
OPPO,Galaxy S9 SM-G960 DS 128GB Purple (SM-G960FZPG),Android,"OPPO,Galaxy S9 SM-G960 DS 128GB Purple (SM-G960FZPG),Android"
realme,Galaxy A30s 4/128GB White,Android,"realme,Galaxy A30s 4/128GB White,Android"
ASUS,P760 Black,iOS,"ASUS,P760 Black,iOS"
OnePlus,Galaxy Note 10+ SM-N975F 12/256GB Black (SM-N975FZKD),Android,"OnePlus,Galaxy Note 10+ SM-N975F 12/256GB Black (SM-N975FZKD),Android"
Xiaomi,Xperia XA1 Dual (G3112) Black,Android,"Xiaomi,Xperia XA1 Dual (G3112) Black,Android"
Samsung,P smart 2019 3/64GB Black (51093FSW),Android,"Samsung,P smart 2019 3/64GB Black (51093FSW),Android"
Oukitel,Mi 10T 8/128GB Cosmic Black,Android,"Oukitel,Mi 10T 8/128GB Cosmic Black,Android"
DOOGEE,Galaxy Note20 Ultra SM-N985F 8/256GB Mystic Bronze (SM-N985FZNG),Android,"DOOGEE,Galaxy Note20 Ultra SM-N985F 8/256GB Mystic Bronze (SM-N985FZNG),Android"
Motorola,Pixel 3 XL 4/64GB Just Black,Android,"Motorola,Pixel 3 XL 4/64GB Just Black,Android"
DOOGEE,A8 3/32GB Black,Android,"DOOGEE,A8 3/32GB Black,Android"
Apple,ROG Phone 3 ZS661KS 12/128GB Black (90AI0032-M00180),Android,"Apple,ROG Phone 3 ZS661KS 12/128GB Black (90AI0032-M00180),Android"
Samsung,N30 4/128GB Dreamy Blue,Android,"Samsung,N30 4/128GB Dreamy Blue,Android"
Apple,iPhone XR 64GB Black (MRY42),Android,"Apple,iPhone XR 64GB Black (MRY42),Android"
Xiaomi,G9 Plus 4/128GB Navy Blue (PAKM0019RS),Android,"Xiaomi,G9 Plus 4/128GB Navy Blue (PAKM0019RS),Android"
Motorola,Redmi K30 8/128GB Purple,Android,"Motorola,Redmi K30 8/128GB Purple,Android"
Xiaomi,8 Pro 12/256GB Glacial Green,Android,"Xiaomi,8 Pro 12/256GB Glacial Green,Android"
Samsung,X-style S3500 sKai Black,iOS,"Samsung,X-style S3500 sKai Black,iOS"
Motorola,iPhone 11 64GB Dual Sim White (MWN12),Android,"Motorola,iPhone 11 64GB Dual Sim White (MWN12),Android"
realme,Galaxy A7 2018 4/64GB Black (SM-A750FZKU),Android,"realme,Galaxy A7 2018 4/64GB Black (SM-A750FZKU),Android"
OnePlus,A60 Pro 3/16GB Black,Android,"OnePlus,A60 Pro 3/16GB Black,Android"
Samsung,Xperia 1 II XQ-AT52 8/256GB Purple,Android,"Samsung,Xperia 1 II XQ-AT52 8/256GB Purple,Android"
Motorola,Mi5 3/32GB Gold,Android,"Motorola,Mi5 3/32GB Gold,Android"
Sigma mobile,G8 Power 4/64GB Dual Sim Black (PAHF0007RS),Android,"Sigma mobile,G8 Power 4/64GB Dual Sim Black (PAHF0007RS),Android"
2E,G7 ThinQ 4/64GB Platinum Gray,Android,"2E,G7 ThinQ 4/64GB Platinum Gray,Android"
HUAWEI,Moto G5 2/16GB Gold (PA610071UA),Android,"HUAWEI,Moto G5 2/16GB Gold (PA610071UA),Android"
Honor,1SE 3/32GB Power Gray (5030D-2AALUA2),Android,"Honor,1SE 3/32GB Power Gray (5030D-2AALUA2),Android"
OnePlus,A91 8/128GB Black,Android,"OnePlus,A91 8/128GB Black,Android"
Apple,Galaxy S20 FE 5G SM-G7810 Dual 8/256GB Cloud Navy,Android,"Apple,Galaxy S20 FE 5G SM-G7810 Dual 8/256GB Cloud Navy,Android"
AGM,8S 2/32GB Black (51093ULM),Android,"AGM,8S 2/32GB Black (51093ULM),Android"
Google,Pixel 4 6/64GB Just Black,Android,"Google,Pixel 4 6/64GB Just Black,Android"
Honor,Galaxy A20e SM-A202F 3/32GB White (SM-A202FZWD),Android,"Honor,Galaxy A20e SM-A202F 3/32GB White (SM-A202FZWD),Android"
Samsung,One XT1941-4 4/64GB Dual Sim Black,iOS,"Samsung,One XT1941-4 4/64GB Dual Sim Black,iOS"
Google,5 6/64GB Slate Grey,Android,"Google,5 6/64GB Slate Grey,Android"
Oukitel,Pocophone F1 6/128GB Blue,Android,"Oukitel,Pocophone F1 6/128GB Blue,Android"
ALCATEL,10 6/64GB Black,Android,"ALCATEL,10 6/64GB Black,Android"
UMIDIGI,A50 GRANITE 2/16GB Black,Android,"UMIDIGI,A50 GRANITE 2/16GB Black,Android"
DOOGEE,A30 2/16GB Black,Android,"DOOGEE,A30 2/16GB Black,Android"
Samsung,iPhone 12 Pro 256GB Dual Sim Pacific Blue (MGLH3),Android,"Samsung,iPhone 12 Pro 256GB Dual Sim Pacific Blue (MGLH3),Android"
Sony,iPhone SE 2020 128GB Black (MXD02/MXCW2),iOS,"Sony,iPhone SE 2020 128GB Black (MXD02/MXCW2),iOS"
DOOGEE,Xperia XZ (Blue),Android,"DOOGEE,Xperia XZ (Blue),Android"
AGM,G6 Plus 128GB Gold,Android,"AGM,G6 Plus 128GB Gold,Android"
Samsung,iPhone 11 256GB Slim Box Black (MHDP3),Android,"Samsung,iPhone 11 256GB Slim Box Black (MHDP3),Android"
Tecno,8 12/256GB Onyx Black,Android,"Tecno,8 12/256GB Onyx Black,Android"
Motorola,40 Neon,Android,"Motorola,40 Neon,Android"
OnePlus,Galaxy A80 2019 8/128GB Black (SM-A805FZKD),Android,"OnePlus,Galaxy A80 2019 8/128GB Black (SM-A805FZKD),Android"
OnePlus,Galaxy M115 M11 3/32 Black (SM-M115FZKN),Android,"OnePlus,Galaxy M115 M11 3/32 Black (SM-M115FZKN),Android"
OPPO,1B 5002H Prime Black (5002H-2AALUA12),Android,"OPPO,1B 5002H Prime Black (5002H-2AALUA12),Android"
Samsung,Redmi 9 4/128GB Blue (no NFC),Android,"Samsung,Redmi 9 4/128GB Blue (no NFC),Android"
Apple,iPhone 8 256GB Space Gray (MQ7F2),iOS,"Apple,iPhone 8 256GB Space Gray (MQ7F2),iOS"
Nokia,10 lite 3/64GB Blue,Android,"Nokia,10 lite 3/64GB Blue,Android"
Samsung,P smart 2019 3/64GB Black (51093FSW),Android,"Samsung,P smart 2019 3/64GB Black (51093FSW),Android"
Apple,nova 5T 6/128GB Black (51094MEU),iOS,"Apple,nova 5T 6/128GB Black (51094MEU),iOS"
Xiaomi,Nord N100 4/64GB Midnight Frost,Android,"Xiaomi,Nord N100 4/64GB Midnight Frost,Android"
LG,X-TREME PQ54 MAX,Android,"LG,X-TREME PQ54 MAX,Android"
UMIDIGI,Redmi 8A 3/32GB Black,Android,"UMIDIGI,Redmi 8A 3/32GB Black,Android"
Meizu,2720 Flip Black (16BTSB01A10),Android,"Meizu,2720 Flip Black (16BTSB01A10),Android"
Motorola,Y5p 2/32GB Mint Green (51095MUB),Android,"Motorola,Y5p 2/32GB Mint Green (51095MUB),Android"
ALCATEL,C3 2/32GB Red,Android,"ALCATEL,C3 2/32GB Red,Android"
Bravis,Mi 10T Pro 8/128GB Cosmic Black,Android,"Bravis,Mi 10T Pro 8/128GB Cosmic Black,Android"
Apple,iPhone 12 mini 128GB Black (MGE33),Android,"Apple,iPhone 12 mini 128GB Black (MGE33),Android"
Sony,iPhone 6s Plus 16GB Space Gray (MKU12),Android,"Sony,iPhone 6s Plus 16GB Space Gray (MKU12),Android"
OPPO,16 6/128GB Black,Android,"OPPO,16 6/128GB Black,Android"
Apple,Galaxy S10+ SM-G975 DS 1TB Ceramic White (SM-G975FCWH),Android,"Apple,Galaxy S10+ SM-G975 DS 1TB Ceramic White (SM-G975FCWH),Android"
ASUS,P40 8/128GB Black (51095EHY),Android,"ASUS,P40 8/128GB Black (51095EHY),Android"
Samsung,Y6p 3/64GB Midnight Black (51095KYP),Android,"Samsung,Y6p 3/64GB Midnight Black (51095KYP),Android"
CAT,Y6s 3/32GB Orhid Blue (51094WBU),Android,"CAT,Y6s 3/32GB Orhid Blue (51094WBU),Android"
Motorola,Redmi 9C NFC 2/32GB Midnight Gray,Android,"Motorola,Redmi 9C NFC 2/32GB Midnight Gray,Android"
Ulefone,Note 20 Pro 6/128GB Black,Android,"Ulefone,Note 20 Pro 6/128GB Black,Android"
Samsung,Lumia 925 (Black),Android,"Samsung,Lumia 925 (Black),Android"
Nokia,3.4 3/64GB Charcoal,iOS,"Nokia,3.4 3/64GB Charcoal,iOS"
DOOGEE,Sense 55DC 16GB Gold,Android,"DOOGEE,Sense 55DC 16GB Gold,Android"
Samsung,Galaxy M21 4/64GB Black (SM-M215FZKU),Android,"Samsung,Galaxy M21 4/64GB Black (SM-M215FZKU),Android"
Samsung,Galaxy A20e SM-A202F 3/32GB Black SM-A202FZKD,Android,"Samsung,Galaxy A20e SM-A202F 3/32GB Black SM-A202FZKD,Android"
Xiaomi,G8 Power 4/64GB Dual Sim Black (PAHF0007RS),iOS,"Xiaomi,G8 Power 4/64GB Dual Sim Black (PAHF0007RS),iOS"
Honor,2.4 2/32GB Charcoal,Android,"Honor,2.4 2/32GB Charcoal,Android"
HUAWEI,Surface Duo 6GB/256GB (TGM-00001),Android,"HUAWEI,Surface Duo 6GB/256GB (TGM-00001),Android"
Blackview,BV5500 Plus 3/32GB Black,Android,"Blackview,BV5500 Plus 3/32GB Black,Android"
General,Xperia Z5 Dual E6683 (White),Android,"General,Xperia Z5 Dual E6683 (White),Android"
Apple,X-TREME PQ39 ULTRA Black,Android,"Apple,X-TREME PQ39 ULTRA Black,Android"
Google,iPhone 12 Pro 128GB Pacific Blue (MGMN3/MGLR3),Android,"Google,iPhone 12 Pro 128GB Pacific Blue (MGMN3/MGLR3),Android"
Honor,C19 2/16GB Black,Android,"Honor,C19 2/16GB Black,Android"
Honor,A60 1/16GB Black,Android,"Honor,A60 1/16GB Black,Android"
Samsung,Galaxy S9 SM-G960U1 128GB Purple,iOS,"Samsung,Galaxy S9 SM-G960U1 128GB Purple,iOS"
Samsung,Redmi 8A 3/32GB Black,Android,"Samsung,Redmi 8A 3/32GB Black,Android"
Sharp,Redmi Note 8 6/128GB Blue,Android,"Sharp,Redmi Note 8 6/128GB Blue,Android"
Samsung,S61 Black,Android,"Samsung,S61 Black,Android"
2E,Zenfone 7 Pro ZS671KS 8/256GB Black,Android,"2E,Zenfone 7 Pro ZS671KS 8/256GB Black,Android"
Samsung,iPhone 12 Pro Max 256GB Dual Sim Pacific Blue (MGC73),Android,"Samsung,iPhone 12 Pro Max 256GB Dual Sim Pacific Blue (MGC73),Android"
Blackview,Galaxy S9+ SM-G965 DS 128GB Black,Android,"Blackview,Galaxy S9+ SM-G965 DS 128GB Black,Android"
Samsung,M10 2/32GB Red,Android,"Samsung,M10 2/32GB Red,Android"
Samsung,X-treme PQ20 Black,Android,"Samsung,X-treme PQ20 Black,Android"
Sony,P Smart S 4/128GB Breathing Crystal (51095HVM),Android,"Sony,P Smart S 4/128GB Breathing Crystal (51095HVM),Android"
ASUS,Galaxy A51 SM-A515F 6/128GB Metallic Silver (SM-A515FMSW),Android,"ASUS,Galaxy A51 SM-A515F 6/128GB Metallic Silver (SM-A515FMSW),Android"
Oukitel,M6T 3/32GB Blue,Android,"Oukitel,M6T 3/32GB Blue,Android"
Xiaomi,Moto E4 (XT1762) Metallic Iron Gray (PA750058UA),Android,"Xiaomi,Moto E4 (XT1762) Metallic Iron Gray (PA750058UA),Android"
Xiaomi,Galaxy S9 SM-G960 DS 128GB Blue,Android,"Xiaomi,Galaxy S9 SM-G960 DS 128GB Blue,Android"
Samsung,iPhone 6 16GB Space Gray (MG472),Android,"Samsung,iPhone 6 16GB Space Gray (MG472),Android"
Tecno,A12 4/64GB Blue,Android,"Tecno,A12 4/64GB Blue,Android"
