transaction_amount,merchant_name,date,transaction_details
154.82,Flowers-Moss,2023-03-09,"154.82,Flowers-Moss,2023-03-09"
2020.84,Caldwell and Sons,2023-08-23,"2020.84,Caldwell and Sons,2023-08-23"
324.95,"Burnett, Bonilla and Bryant",2023-04-15,"324.95,Burnett, Bonilla and Bryant,2023-04-15"
617.72,Cook-Cruz,2023-06-27,"617.72,Cook-Cruz,2023-06-27"
144.69,Humphrey-Wood,2023-06-25,"144.69,Humphrey-Wood,2023-06-25"
444.42,Gardner and Sons,2023-08-05,"444.42,Gardner and Sons,2023-08-05"
92.04,Austin Ltd,2023-07-31,"92.04,Austin Ltd,2023-07-31"
159.59,Chapman Inc,2023-01-14,"159.59,Chapman Inc,2023-01-14"
673.96,Martin-Underwood,2023-05-21,"673.96,Martin-Underwood,2023-05-21"
297.14,Hanna Ltd,2023-06-13,"297.14,Hanna Ltd,2023-06-13"
62.67,Henderson-Carr,2023-05-19,"62.67,Henderson-Carr,2023-05-19"
176.68,Weiss Inc,2023-09-18,"176.68,Weiss Inc,2023-09-18"
265.43,"Ramirez, Richardson and Roberts",2023-08-12,"265.43,Ramirez, Richardson and Roberts,2023-08-12"
38.02,"Eaton, Smith and Shelton",2023-06-19,"38.02,Eaton, Smith and Shelton,2023-06-19"
575.53,"Patterson, Thompson and Newman",2023-01-17,"575.53,Patterson, Thompson and Newman,2023-01-17"
2816.78,Barajas PLC,2023-08-24,"2816.78,Barajas PLC,2023-08-24"
198.82,"Torres, Lopez and Taylor",2023-05-31,"198.82,Torres, Lopez and Taylor,2023-05-31"
42.39,Hughes PLC,2023-07-20,"42.39,Hughes PLC,2023-07-20"
74.61,Browning PLC,2023-04-18,"74.61,Browning PLC,2023-04-18"
148.83,"Smith, Powell and Shaw",2023-01-30,"148.83,Smith, Powell and Shaw,2023-01-30"
538.47,Lyons-White,2023-01-11,"538.47,Lyons-White,2023-01-11"
439.16,"Anderson, Brewer and Mcdaniel",2023-01-27,"439.16,Anderson, Brewer and Mcdaniel,2023-01-27"
1888.08,Wallace-Ross,2023-07-09,"1888.08,Wallace-Ross,2023-07-09"
103.26,"Gutierrez, Schmidt and Fuller",2023-02-01,"103.26,Gutierrez, Schmidt and Fuller,2023-02-01"
61.88,Gonzalez Inc,2023-04-12,"61.88,Gonzalez Inc,2023-04-12"
440.59,"Schwartz, Frazier and Hughes",2023-10-04,"440.59,Schwartz, Frazier and Hughes,2023-10-04"
19.8,"Ramirez, Browning and Joseph",2023-03-05,"19.8,Ramirez, Browning and Joseph,2023-03-05"
706.78,White-Gallegos,2023-09-19,"706.78,White-Gallegos,2023-09-19"
317.87,Robinson PLC,2023-04-30,"317.87,Robinson PLC,2023-04-30"
127.55,Rojas-Hartman,2023-08-03,"127.55,Rojas-Hartman,2023-08-03"
94.81,"Reed, Navarro and Esparza",2023-03-05,"94.81,Reed, Navarro and Esparza,2023-03-05"
545.68,Anderson Ltd,2023-09-03,"545.68,Anderson Ltd,2023-09-03"
783.91,Silva-Coffey,2023-07-14,"783.91,Silva-Coffey,2023-07-14"
409.2,Quinn Group,2023-01-21,"409.2,Quinn Group,2023-01-21"
134.59,Johnson PLC,2023-07-03,"134.59,Johnson PLC,2023-07-03"
807.04,Morris Inc,2023-07-11,"807.04,Morris Inc,2023-07-11"
287.31,Pope-Hunter,2023-01-20,"287.31,Pope-Hunter,2023-01-20"
12.09,Lopez LLC,2023-09-21,"12.09,Lopez LLC,2023-09-21"
2690.74,"Oliver, Patel and Fleming",2023-03-22,"2690.74,Oliver, Patel and Fleming,2023-03-22"
208.86,"Johnson, Brock and Clark",2023-01-14,"208.86,Johnson, Brock and Clark,2023-01-14"
11.03,Spencer-Hall,2023-09-09,"11.03,Spencer-Hall,2023-09-09"
989.71,Morales-Velasquez,2023-01-23,"989.71,Morales-Velasquez,2023-01-23"
39.66,Davis-Walls,2023-08-26,"39.66,Davis-Walls,2023-08-26"
200.02,Hill LLC,2023-09-14,"200.02,Hill LLC,2023-09-14"
89.1,"Patrick, Hall and Bennett",2023-03-19,"89.1,Patrick, Hall and Bennett,2023-03-19"
222.32,Lee and Sons,2023-03-11,"222.32,Lee and Sons,2023-03-11"
1527.97,Boone-Sullivan,2023-04-24,"1527.97,Boone-Sullivan,2023-04-24"
2938.61,"Fields, Smith and Nguyen",2023-06-18,"2938.61,Fields, Smith and Nguyen,2023-06-18"
144.28,"Hess, Velez and Thomas",2023-04-25,"144.28,Hess, Velez and Thomas,2023-04-25"
165.62,Jones-Collins,2023-06-10,"165.62,Jones-Collins,2023-06-10"
1566.58,"Espinoza, Rodgers and Mccall",2023-07-17,"1566.58,Espinoza, Rodgers and Mccall,2023-07-17"
230.16,Smith LLC,2023-02-04,"230.16,Smith LLC,2023-02-04"
307.12,"Oconnor, Gonzalez and Larson",2023-08-01,"307.12,Oconnor, Gonzalez and Larson,2023-08-01"
262.67,Harper Ltd,2023-09-29,"262.67,Harper Ltd,2023-09-29"
2421.97,Rocha PLC,2023-06-06,"2421.97,Rocha PLC,2023-06-06"
20.03,Roberts Inc,2023-08-26,"20.03,Roberts Inc,2023-08-26"
585.85,Collins-Woodard,2023-03-14,"585.85,Collins-Woodard,2023-03-14"
990.59,Bryant-Henderson,2023-06-15,"990.59,Bryant-Henderson,2023-06-15"
28.59,Williams Group,2023-09-09,"28.59,Williams Group,2023-09-09"
147.21,"Lewis, Clark and Murphy",2023-03-06,"147.21,Lewis, Clark and Murphy,2023-03-06"
2359.43,"Young, Hernandez and Huber",2023-04-23,"2359.43,Young, Hernandez and Huber,2023-04-23"
1586.26,Murphy-Ritter,2023-03-10,"1586.26,Murphy-Ritter,2023-03-10"
2291.07,Swanson Group,2023-05-03,"2291.07,Swanson Group,2023-05-03"
45.29,Jefferson-Chavez,2023-08-05,"45.29,Jefferson-Chavez,2023-08-05"
647.15,Watkins Inc,2023-08-15,"647.15,Watkins Inc,2023-08-15"
2924.5,"Johnson, Davies and Robinson",2023-04-19,"2924.5,Johnson, Davies and Robinson,2023-04-19"
106.26,Hobbs and Sons,2023-08-01,"106.26,Hobbs and Sons,2023-08-01"
12.64,Vega-Murphy,2023-05-19,"12.64,Vega-Murphy,2023-05-19"
222.87,Cox-Cooper,2023-04-02,"222.87,Cox-Cooper,2023-04-02"
851.47,Diaz-Ball,2023-02-15,"851.47,Diaz-Ball,2023-02-15"
842.9,Williams Inc,2023-04-25,"842.9,Williams Inc,2023-04-25"
286.14,Colon-Fox,2023-05-19,"286.14,Colon-Fox,2023-05-19"
356.91,Cardenas and Sons,2023-04-25,"356.91,Cardenas and Sons,2023-04-25"
29.63,Humphrey-Skinner,2023-04-14,"29.63,Humphrey-Skinner,2023-04-14"
199.45,"Barnes, Ochoa and Rodriguez",2023-05-04,"199.45,Barnes, Ochoa and Rodriguez,2023-05-04"
286.43,Bullock Ltd,2023-01-07,"286.43,Bullock Ltd,2023-01-07"
504.59,"Bryant, Butler and Webster",2023-06-08,"504.59,Bryant, Butler and Webster,2023-06-08"
154.08,"Freeman, Robertson and Murray",2023-08-06,"154.08,Freeman, Robertson and Murray,2023-08-06"
95.44,Bryan LLC,2023-10-13,"95.44,Bryan LLC,2023-10-13"
699.15,"Moore, Foster and Bowen",2023-02-16,"699.15,Moore, Foster and Bowen,2023-02-16"
26.97,Gates and Sons,2023-04-07,"26.97,Gates and Sons,2023-04-07"
18.82,Lewis Inc,2023-08-29,"18.82,Lewis Inc,2023-08-29"
76.91,"Randall, Patterson and Garcia",2023-10-10,"76.91,Randall, Patterson and Garcia,2023-10-10"
43.29,"Mendoza, Flores and Ochoa",2023-06-22,"43.29,Mendoza, Flores and Ochoa,2023-06-22"
289.54,"Gomez, Austin and Hunter",2023-05-23,"289.54,Gomez, Austin and Hunter,2023-05-23"
59.73,"Hall, Bowers and Martinez",2023-04-05,"59.73,Hall, Bowers and Martinez,2023-04-05"
609.42,"Fisher, Wong and Neal",2023-01-18,"609.42,Fisher, Wong and Neal,2023-01-18"
72.74,Pena-Burns,2023-06-05,"72.74,Pena-Burns,2023-06-05"
