departure_time,arrival_time,duration,trip_details
2024-09-07 17:28:56,2024-01-07 21:27:42,679,"2024-09-07 17:28:56,2024-01-07 21:27:42,679"
2024-06-24 08:35:17,2024-05-23 14:10:24,486,"2024-06-24 08:35:17,2024-05-23 14:10:24,486"
2024-05-20 03:02:19,2024-03-04 15:02:05,968,"2024-05-20 03:02:19,2024-03-04 15:02:05,968"
2024-08-22 11:49:21,2024-06-16 16:02:34,342,"2024-08-22 11:49:21,2024-06-16 16:02:34,342"
2024-06-22 01:02:12,2024-04-10 03:10:26,85,"2024-06-22 01:02:12,2024-04-10 03:10:26,85"
2024-07-30 15:18:07,2024-08-10 06:29:23,813,"2024-07-30 15:18:07,2024-08-10 06:29:23,813"
2024-03-21 05:29:33,2024-08-27 03:02:48,467,"2024-03-21 05:29:33,2024-08-27 03:02:48,467"
2024-01-23 10:54:16,2024-04-26 21:29:55,910,"2024-01-23 10:54:16,2024-04-26 21:29:55,910"
2024-06-25 15:28:53,2024-02-27 17:20:36,597,"2024-06-25 15:28:53,2024-02-27 17:20:36,597"
2024-07-08 04:11:03,2024-08-14 10:19:02,694,"2024-07-08 04:11:03,2024-08-14 10:19:02,694"
2024-08-11 08:24:34,2024-05-16 20:40:54,806,"2024-08-11 08:24:34,2024-05-16 20:40:54,806"
2024-07-22 09:40:16,2024-01-29 04:53:53,539,"2024-07-22 09:40:16,2024-01-29 04:53:53,539"
2024-03-01 23:55:40,2024-02-21 00:25:35,569,"2024-03-01 23:55:40,2024-02-21 00:25:35,569"
2024-07-27 20:35:44,2024-06-09 23:23:20,851,"2024-07-27 20:35:44,2024-06-09 23:23:20,851"
2024-04-29 01:31:54,2024-02-03 07:36:07,54,"2024-04-29 01:31:54,2024-02-03 07:36:07,54"
2024-04-22 17:26:59,2024-07-10 13:25:39,807,"2024-04-22 17:26:59,2024-07-10 13:25:39,807"
2024-04-06 02:46:58,2024-07-04 14:55:49,401,"2024-04-06 02:46:58,2024-07-04 14:55:49,401"
2024-06-24 11:14:20,2024-06-23 17:08:13,875,"2024-06-24 11:14:20,2024-06-23 17:08:13,875"
2024-08-12 01:12:06,2024-07-24 02:41:40,664,"2024-08-12 01:12:06,2024-07-24 02:41:40,664"
2024-01-07 16:45:53,2024-01-20 20:02:59,809,"2024-01-07 16:45:53,2024-01-20 20:02:59,809"
2024-03-10 10:25:41,2024-07-07 13:18:03,904,"2024-03-10 10:25:41,2024-07-07 13:18:03,904"
2024-04-20 22:58:13,2024-02-11 02:00:53,514,"2024-04-20 22:58:13,2024-02-11 02:00:53,514"
2024-03-31 07:39:24,2024-04-05 12:41:06,931,"2024-03-31 07:39:24,2024-04-05 12:41:06,931"
2024-04-06 03:50:42,2024-02-26 03:59:05,326,"2024-04-06 03:50:42,2024-02-26 03:59:05,326"
2024-09-07 19:24:36,2024-09-01 03:51:09,933,"2024-09-07 19:24:36,2024-09-01 03:51:09,933"
2024-08-17 20:47:38,2024-02-20 16:06:49,539,"2024-08-17 20:47:38,2024-02-20 16:06:49,539"
2024-03-30 02:33:56,2024-05-11 20:06:48,238,"2024-03-30 02:33:56,2024-05-11 20:06:48,238"
2024-01-10 19:40:18,2024-06-29 05:58:40,514,"2024-01-10 19:40:18,2024-06-29 05:58:40,514"
2024-01-25 12:16:04,2024-08-27 17:32:50,573,"2024-01-25 12:16:04,2024-08-27 17:32:50,573"
2024-04-28 16:27:05,2024-01-23 06:34:14,385,"2024-04-28 16:27:05,2024-01-23 06:34:14,385"
2024-03-23 14:02:47,2024-03-31 19:28:50,409,"2024-03-23 14:02:47,2024-03-31 19:28:50,409"
