temperature,humidity,pressure,weather
69,45,8370,"69,45,8370"
14,11,1423,"14,11,1423"
71,95,3521,"71,95,3521"
36,14,4872,"36,14,4872"
5,9,5420,"5,9,5420"
41,99,6136,"41,99,6136"
3,69,7181,"3,69,7181"
95,90,8960,"95,90,8960"
30,4,4490,"30,4,4490"
54,45,1887,"54,45,1887"
38,87,5000,"38,87,5000"
57,38,9303,"57,38,9303"
22,76,7105,"22,76,7105"
56,59,8133,"56,59,8133"
33,4,1390,"33,4,1390"
90,81,2534,"90,81,2534"
54,67,5704,"54,67,5704"
69,11,5943,"69,11,5943"
85,88,6251,"85,88,6251"
63,31,7198,"63,31,7198"
94,45,2700,"94,45,2700"
49,88,2415,"49,88,2415"
27,1,9461,"27,1,9461"
36,35,9934,"36,35,9934"
8,44,4090,"8,44,4090"
92,46,4938,"92,46,4938"
44,57,495,"44,57,495"
56,68,2053,"56,68,2053"
57,48,7048,"57,48,7048"
7,6,1399,"7,6,1399"
29,9,5876,"29,9,5876"
59,90,7472,"59,90,7472"
89,96,5072,"89,96,5072"
38,9,6113,"38,9,6113"
36,99,7289,"36,99,7289"
0,70,5392,"0,70,5392"
6,47,2293,"6,47,2293"
84,37,8188,"84,37,8188"
55,52,3589,"55,52,3589"
29,34,7644,"29,34,7644"
51,93,5838,"51,93,5838"
22,46,8864,"22,46,8864"
2,53,2889,"2,53,2889"
40,91,6444,"40,91,6444"
45,55,6183,"45,55,6183"
87,27,5960,"87,27,5960"
49,49,1560,"49,49,1560"
58,79,2891,"58,79,2891"
94,17,8945,"94,17,8945"
74,79,7111,"74,79,7111"
65,13,7340,"65,13,7340"
33,94,3923,"33,94,3923"
37,19,1878,"37,19,1878"
23,55,6356,"23,55,6356"
36,66,4616,"36,66,4616"
16,84,5145,"16,84,5145"
8,76,7575,"8,76,7575"
85,20,2379,"85,20,2379"
3,25,4084,"3,25,4084"
43,70,4874,"43,70,4874"
21,14,3895,"21,14,3895"
23,58,7106,"23,58,7106"
83,9,6223,"83,9,6223"
28,1,9953,"28,1,9953"
90,99,9980,"90,99,9980"
18,12,8399,"18,12,8399"
96,75,1450,"96,75,1450"
52,65,678,"52,65,678"
22,68,6693,"22,68,6693"
75,28,315,"75,28,315"
97,50,4351,"97,50,4351"
54,69,7135,"54,69,7135"
74,45,7212,"74,45,7212"
28,51,7349,"28,51,7349"
22,75,3143,"22,75,3143"
71,42,1781,"71,42,1781"
87,91,2353,"87,91,2353"
10,2,1820,"10,2,1820"
98,50,5710,"98,50,5710"
18,84,1314,"18,84,1314"
90,46,2704,"90,46,2704"
13,14,4944,"13,14,4944"
86,57,889,"86,57,889"
98,49,335,"98,49,335"
74,20,513,"74,20,513"
46,18,2255,"46,18,2255"
95,16,1348,"95,16,1348"
58,95,8889,"58,95,8889"
71,67,8274,"71,67,8274"
65,2,2986,"65,2,2986"
37,92,4680,"37,92,4680"
19,23,8592,"19,23,8592"
5,35,4918,"5,35,4918"
59,32,6133,"59,32,6133"
99,99,2032,"99,99,2032"
58,21,5148,"58,21,5148"
30,52,7826,"30,52,7826"
58,86,4995,"58,86,4995"
27,82,2763,"27,82,2763"
17,9,4147,"17,9,4147"
99,2,300,"99,2,300"
69,79,7685,"69,79,7685"
45,90,9903,"45,90,9903"
19,90,6520,"19,90,6520"
49,57,9507,"49,57,9507"
97,84,1984,"97,84,1984"
57,39,4384,"57,39,4384"
85,48,5600,"85,48,5600"
63,4,7540,"63,4,7540"
13,28,6230,"13,28,6230"
16,90,9014,"16,90,9014"
39,82,8602,"39,82,8602"
34,23,7493,"34,23,7493"
54,61,2830,"54,61,2830"
52,75,2209,"52,75,2209"
46,86,6815,"46,86,6815"
