birth_day,birth_month,birth_year,birth_date
13,2,1956,1956-02-13
3,11,1955,1955-11-03
30,6,1973,1973-06-30
7,5,2003,2003-05-07
26,8,2009,2009-08-26
9,12,1971,1971-12-09
20,9,1956,1956-09-20
6,8,2024,2024-08-06
9,7,1979,1979-07-09
1,12,1970,1970-12-01
26,11,1950,1950-11-26
7,12,1978,1978-12-07
24,12,1925,1925-12-24
17,6,1924,1924-06-17
29,3,1933,1933-03-29
19,6,1913,1913-06-19
23,1,1912,1912-01-23
11,6,1972,1972-06-11
30,9,1974,1974-09-30
13,4,1931,1931-04-13
14,6,1986,1986-06-14
17,5,1984,1984-05-17
26,6,2023,2023-06-26
20,9,1969,1969-09-20
6,4,1915,1915-04-06
24,6,1972,1972-06-24
9,11,1968,1968-11-09
6,11,1994,1994-11-06
11,6,2021,2021-06-11
3,1,2022,2022-01-03
3,9,2014,2014-09-03
3,11,2004,2004-11-03
7,9,2011,2011-09-07
27,6,1951,1951-06-27
18,11,1956,1956-11-18
20,11,1955,1955-11-20
20,6,1911,1911-06-20
16,8,2008,2008-08-16
16,1,1962,1962-01-16
15,12,1910,1910-12-15
28,4,1948,1948-04-28
7,9,1985,1985-09-07
8,4,1919,1919-04-08
14,12,1967,1967-12-14
26,8,1972,1972-08-26
30,6,1982,1982-06-30
4,9,1923,1923-09-04
12,2,1966,1966-02-12
8,6,1918,1918-06-08
29,5,2007,2007-05-29
3,8,1970,1970-08-03
12,7,1938,1938-07-12
20,5,2013,2013-05-20
13,2,1912,1912-02-13
11,11,1946,1946-11-11
22,3,1997,1997-03-22
1,11,2019,2019-11-01
13,6,1917,1917-06-13
12,5,1910,1910-05-12
14,11,1908,1908-11-14
15,8,2017,2017-08-15
6,11,1986,1986-11-06
19,6,2000,2000-06-19
9,12,2022,2022-12-09
9,6,1980,1980-06-09
21,2,2007,2007-02-21
8,4,1937,1937-04-08
31,12,1949,1949-12-31
25,9,1963,1963-09-25
18,9,2003,2003-09-18
31,7,2023,2023-07-31
6,11,1976,1976-11-06
26,10,2017,2017-10-26
30,6,1990,1990-06-30
3,8,1952,1952-08-03
16,4,1922,1922-04-16
30,3,1915,1915-03-30
16,6,2007,2007-06-16
30,5,1994,1994-05-30
5,11,1941,1941-11-05
23,11,1965,1965-11-23
5,7,1933,1933-07-05
17,12,1909,1909-12-17
17,10,1979,1979-10-17
13,1,1979,1979-01-13
26,3,2020,2020-03-26
13,5,1919,1919-05-13
15,4,1993,1993-04-15
19,3,1930,1930-03-19
9,2,2020,2020-02-09
29,12,2015,2015-12-29
4,11,1938,1938-11-04
21,7,1991,1991-07-21
16,4,1979,1979-04-16
22,5,1975,1975-05-22
17,1,1917,1917-01-17
11,9,2010,2010-09-11
18,1,1974,1974-01-18
10,7,2017,2017-07-10
23,7,1996,1996-07-23
12,3,2012,2012-03-12
23,5,2023,2023-05-23
13,6,1928,1928-06-13
13,2,1919,1919-02-13
17,3,1983,1983-03-17
4,5,1972,1972-05-04
19,10,1961,1961-10-19
12,6,1963,1963-06-12
12,7,1946,1946-07-12
24,5,1932,1932-05-24
21,1,1992,1992-01-21
27,2,1991,1991-02-27
15,9,2013,2013-09-15
4,3,1930,1930-03-04
8,8,1934,1934-08-08
28,7,1981,1981-07-28
20,1,1957,1957-01-20
11,4,1922,1922-04-11
11,7,1985,1985-07-11
26,2,2023,2023-02-26
1,12,1979,1979-12-01
9,3,1933,1933-03-09
7,5,2003,2003-05-07
15,8,1965,1965-08-15
31,1,1981,1981-01-31
25,7,2011,2011-07-25
16,5,1982,1982-05-16
2,11,1917,1917-11-02
2,6,1916,1916-06-02
16,1,1926,1926-01-16
21,5,2002,2002-05-21
25,2,1980,1980-02-25
20,2,2003,2003-02-20
9,1,1968,1968-01-09
13,10,1914,1914-10-13
11,9,1958,1958-09-11
5,8,1969,1969-08-05
15,7,1954,1954-07-15
8,1,1954,1954-01-08
16,12,1960,1960-12-16
7,7,1925,1925-07-07
30,11,1920,1920-11-30
10,11,1977,1977-11-10
22,11,1928,1928-11-22
27,4,1955,1955-04-27
23,9,1918,1918-09-23
9,5,1989,1989-05-09
7,8,1934,1934-08-07
30,11,2008,2008-11-30
7,8,1930,1930-08-07
12,1,1972,1972-01-12
2,2,1957,1957-02-02
25,9,1954,1954-09-25
27,4,1989,1989-04-27
8,9,2006,2006-09-08
30,5,1997,1997-05-30
26,5,2013,2013-05-26
30,10,1926,1926-10-30
30,3,1962,1962-03-30
20,2,1943,1943-02-20
11,2,2013,2013-02-11
5,11,1959,1959-11-05
10,8,2023,2023-08-10
16,5,1996,1996-05-16
30,7,1922,1922-07-30
19,5,1933,1933-05-19
3,8,1932,1932-08-03
4,9,1939,1939-09-04
1,7,1973,1973-07-01
27,4,1947,1947-04-27
30,4,2022,2022-04-30
4,3,2013,2013-03-04
