latitude,longitude,coordinates
44.942327,72.898991,"44.942327, 72.898991"
-70.4094695,77.019555,"-70.4094695, 77.019555"
-28.5456685,-51.464811,"-28.5456685, -51.464811"
36.5537475,-110.201908,"36.5537475, -110.201908"
-32.1032565,-19.368351,"-32.1032565, -19.368351"
-48.561646,132.098039,"-48.561646, 132.098039"
61.0516475,-89.893448,"61.0516475, -89.893448"
57.5577925,9.431971,"57.5577925, 9.431971"
-35.647279,-83.413153,"-35.647279, -83.413153"
80.4029005,-20.840428,"80.4029005, -20.840428"
64.501007,167.003662,"64.501007, 167.003662"
-6.7023025,-48.459607,"-6.7023025, -48.459607"
-69.7361205,69.172056,"-69.7361205, 69.172056"
45.561440,-115.433570,"45.561440, -115.433570"
44.677420,60.365243,"44.677420, 60.365243"
60.707725,153.990925,"60.707725, 153.990925"
26.5887085,141.550736,"26.5887085, 141.550736"
50.168410,-109.724645,"50.168410, -109.724645"
-18.6439575,-155.807444,"-18.6439575, -155.807444"
52.931799,-28.490381,"52.931799, -28.490381"
-56.121037,144.635615,"-56.121037, 144.635615"
-65.7639325,-178.175838,"-65.7639325, -178.175838"
-22.1605655,135.057256,"-22.1605655, 135.057256"
-28.8309385,151.270406,"-28.8309385, 151.270406"
28.261086,44.615714,"28.261086, 44.615714"
18.694423,6.593525,"18.694423, 6.593525"
-1.1203225,-49.668265,"-1.1203225, -49.668265"
-65.708359,-178.193888,"-65.708359, -178.193888"
76.1758155,-128.528929,"76.1758155, -128.528929"
-53.5297565,-4.113635,"-53.5297565, -4.113635"
-57.627437,-62.815059,"-57.627437, -62.815059"
-55.5609865,81.594885,"-55.5609865, 81.594885"
10.3426255,-162.780213,"10.3426255, -162.780213"
61.027124,165.210504,"61.027124, 165.210504"
21.778272,120.367485,"21.778272, 120.367485"
-74.8962125,-0.333009,"-74.8962125, -0.333009"
83.715284,-153.187522,"83.715284, -153.187522"
-77.901037,131.978647,"-77.901037, 131.978647"
8.4941035,101.417711,"8.4941035, 101.417711"
7.535624,46.904492,"7.535624, 46.904492"
54.880163,-4.735978,"54.880163, -4.735978"
-81.193181,-160.681033,"-81.193181, -160.681033"
-83.8204375,-161.841353,"-83.8204375, -161.841353"
