day,month,year,date
20,1,2014,2014-01-20
9,9,1995,1995-09-09
4,3,2012,2012-03-04
11,1,1996,1996-01-11
8,7,1973,1973-07-08
22,5,1979,1979-05-22
20,5,2012,2012-05-20
1,11,2010,2010-11-01
28,1,2017,2017-01-28
8,3,2024,2024-03-08
6,2,1988,1988-02-06
18,10,2015,2015-10-18
16,3,1990,1990-03-16
6,1,2004,2004-01-06
10,4,1976,1976-04-10
24,8,2013,2013-08-24
25,7,1971,1971-07-25
7,10,1994,1994-10-07
30,8,1991,1991-08-30
15,9,2013,2013-09-15
30,9,2010,2010-09-30
6,7,2001,2001-07-06
6,12,2006,2006-12-06
21,12,2010,2010-12-21
10,11,1995,1995-11-10
23,4,2023,2023-04-23
1,12,1978,1978-12-01
6,6,2021,2021-06-06
25,6,1993,1993-06-25
8,4,2012,2012-04-08
19,2,1992,1992-02-19
1,11,1980,1980-11-01
8,5,2017,2017-05-08
16,12,1980,1980-12-16
13,6,1994,1994-06-13
3,2,1983,1983-02-03
1,11,2021,2021-11-01
25,10,2014,2014-10-25
17,7,1985,1985-07-17
5,9,1987,1987-09-05
31,7,1981,1981-07-31
22,11,1998,1998-11-22
17,8,2020,2020-08-17
19,10,1980,1980-10-19
13,1,2024,2024-01-13
26,8,2010,2010-08-26
5,10,1970,1970-10-05
25,6,1973,1973-06-25
8,10,2008,2008-10-08
23,11,2007,2007-11-23
29,10,1998,1998-10-29
1,8,1977,1977-08-01
14,11,2016,2016-11-14
21,8,2016,2016-08-21
2,6,2019,2019-06-02
29,4,1973,1973-04-29
17,2,2018,2018-02-17
6,7,1986,1986-07-06
7,10,2017,2017-10-07
4,6,1988,1988-06-04
14,11,1989,1989-11-14
24,6,1991,1991-06-24
24,7,2007,2007-07-24
26,1,2004,2004-01-26
17,11,2009,2009-11-17
12,1,2004,2004-01-12
20,2,2011,2011-02-20
25,9,2003,2003-09-25
8,10,1994,1994-10-08
8,7,1996,1996-07-08
4,11,2007,2007-11-04
19,9,2013,2013-09-19
18,12,2020,2020-12-18
27,12,2022,2022-12-27
26,2,1979,1979-02-26
30,6,1996,1996-06-30
21,2,1998,1998-02-21
3,12,2021,2021-12-03
6,2,1989,1989-02-06
14,9,1971,1971-09-14
7,9,1983,1983-09-07
11,5,1971,1971-05-11
27,12,1981,1981-12-27
14,1,1990,1990-01-14
14,4,2005,2005-04-14
7,8,1984,1984-08-07
2,4,1990,1990-04-02
13,3,1976,1976-03-13
15,1,1972,1972-01-15
30,9,1984,1984-09-30
6,7,1985,1985-07-06
16,7,1973,1973-07-16
2,7,2022,2022-07-02
