exam_date,exam_time,exam_datetime
1981-05-25,15:15:28,1981-05-25 15:15:28
1971-01-31,12:15:35,1971-01-31 12:15:35
1979-03-22,14:03:26,1979-03-22 14:03:26
2005-03-24,04:26:48,2005-03-24 04:26:48
2017-11-08,07:20:30,2017-11-08 07:20:30
2002-06-06,09:58:05,2002-06-06 09:58:05
2013-02-09,14:09:52,2013-02-09 14:09:52
2016-11-04,02:58:57,2016-11-04 02:58:57
1997-10-13,05:42:25,1997-10-13 05:42:25
1995-06-15,19:19:57,1995-06-15 19:19:57
2011-07-13,11:15:12,2011-07-13 11:15:12
2023-01-30,18:13:26,2023-01-30 18:13:26
1980-10-13,18:28:46,1980-10-13 18:28:46
2001-08-25,22:57:01,2001-08-25 22:57:01
1993-10-26,16:45:25,1993-10-26 16:45:25
2007-12-06,15:46:17,2007-12-06 15:46:17
1997-05-13,17:03:25,1997-05-13 17:03:25
1998-08-08,06:14:14,1998-08-08 06:14:14
2011-11-16,22:23:30,2011-11-16 22:23:30
1974-05-19,02:51:49,1974-05-19 02:51:49
1992-11-07,23:47:01,1992-11-07 23:47:01
2009-01-18,19:33:07,2009-01-18 19:33:07
2008-09-27,17:09:21,2008-09-27 17:09:21
1999-08-26,17:18:23,1999-08-26 17:18:23
2019-01-20,21:17:13,2019-01-20 21:17:13
2008-08-30,23:20:20,2008-08-30 23:20:20
2009-08-12,09:59:36,2009-08-12 09:59:36
2018-05-20,07:05:03,2018-05-20 07:05:03
2010-10-10,18:02:11,2010-10-10 18:02:11
1983-11-19,14:02:02,1983-11-19 14:02:02
2006-07-10,20:57:39,2006-07-10 20:57:39
2004-01-05,15:23:18,2004-01-05 15:23:18
1977-05-05,22:17:37,1977-05-05 22:17:37
1994-12-22,14:48:48,1994-12-22 14:48:48
1995-03-14,10:00:56,1995-03-14 10:00:56
1971-02-26,10:35:02,1971-02-26 10:35:02
1978-10-06,10:15:46,1978-10-06 10:15:46
2023-06-28,09:21:57,2023-06-28 09:21:57
1980-01-26,05:43:46,1980-01-26 05:43:46
1970-04-16,01:44:21,1970-04-16 01:44:21
2002-01-06,01:17:46,2002-01-06 01:17:46
2013-04-23,23:19:13,2013-04-23 23:19:13
2005-12-16,08:09:54,2005-12-16 08:09:54
2007-04-18,09:29:37,2007-04-18 09:29:37
1985-01-09,16:20:40,1985-01-09 16:20:40
