prefix,registration_group,publisher_code,item_number,check_digit,isbn
978,0,312,65025,0,9780312650250
978,1,250,00333,0,9781250003330
978,0,575,09086,0,9780575090860
978,0,152,06312,0,9780152063120
978,0,062,00394,0,9780062003940
978,1,416,92806,0,9781416928060
978,0,062,08102,0,9780062081020
978,0,307,73862,0,9780307738620
978,0,340,89362,0,9780340893620
978,1,442,41318,0,9781442413180
978,0,439,96809,0,9780439968090
978,0,439,85805,0,9780439858050
978,0,373,21014,0,9780373210140
978,0,451,22720,0,9780451227200
978,0,689,85640,0,9780689856400
978,0,061,66810,0,9780061668100
978,0,689,87857,0,9780689878570
978,0,689,87859,0,9780689878590
978,1,429,98193,0,9781429981930
978,1,442,42673,0,9781442426730
978,0,312,37015,0,9780312370150
978,0,451,47470,0,9780451474700
978,0,061,56156,0,9780061561560
978,1,471,11810,0,9781471118100
978,0,545,01022,0,9780545010220
978,0,061,65926,0,9780061659260
978,0,061,62632,0,9780061626320
978,1,933,71855,0,9781933718550
978,1,741,66448,0,9781741664480
978,0,142,40120,0,9780142401200
978,0,810,94914,0,9780810949140
978,0,375,99067,0,9780375990670
978,1,416,99556,0,9781416995560
978,1,423,12130,0,9781423121300
978,1,442,42664,0,9781442426640
978,0,375,83695,0,9780375836950
978,0,316,01233,0,9780316012330
978,0,765,32866,0,9780765328660
978,0,525,42329,0,9780525423290
978,0,451,22238,0,9780451222380
978,0,385,73535,0,9780385735350
978,0,739,38034,0,9780739380340
978,0,545,28416,0,9780545284160
978,0,441,00583,0,9780441005830
978,1,416,96397,0,9781416963970
978,1,400,03105,0,9781400031050
978,0,807,50853,0,9780807508530
978,0,439,47429,0,9780439474290
978,0,062,07107,0,9780062071070
978,0,316,22134,0,9780316221340
978,0,803,73306,0,9780803733060
978,1,741,66209,0,9781741662090
978,0,385,73534,0,9780385735340
978,0,061,28447,0,9780061284470
978,1,481,40455,0,9781481404550
978,0,062,23579,0,9780062235790
978,1,561,37173,0,9781561371730
978,1,416,97450,0,9781416974500
978,0,439,67996,0,9780439679960
978,0,060,51410,0,9780060514100
978,0,142,40076,0,9780142400760
978,0,670,01225,0,9780670012250
978,0,399,25620,0,9780399256200
978,0,786,81787,0,9780786817870
978,1,595,14337,0,9781595143370
978,0,786,84908,0,9780786849080
978,0,062,32718,0,9780062327180
978,0,439,82911,0,9780439829110
978,0,062,00103,0,9780062001030
978,1,408,81045,0,9781408810450
978,0,060,56225,0,9780060562250
978,0,330,39780,0,9780330397800
978,0,545,05474,0,9780545054740
978,0,399,17163,0,9780399171630
978,0,439,85804,0,9780439858040
978,0,374,48010,0,9780374480100
978,1,416,98942,0,9781416989420
978,0,439,12042,0,9780439120420
978,0,316,00287,0,9780316002870
978,0,007,30215,0,9780007302150
978,0,525,42158,0,9780525421580
978,0,439,43657,0,9780439436570
978,0,061,97807,0,9780061978070
978,0,060,73949,0,9780060739490
978,0,373,21140,0,9780373211400
978,1,582,34902,0,9781582349020
978,0,689,84033,0,9780689840330
978,0,525,42329,0,9780525423290
978,0,399,16784,0,9780399167840
978,0,385,73341,0,9780385733410
978,0,547,95921,0,9780547959210
978,1,423,17637,0,9781423176370
978,0,547,25127,0,9780547251270
978,0,373,21037,0,9780373210370
978,1,406,31025,0,9781406310250
978,1,571,31652,0,9781571316520
978,0,061,43302,0,9780061433020
978,0,062,01199,0,9780062011990
978,0,380,70442,0,9780380704420
978,0,399,25058,0,9780399250580
978,0,439,85804,0,9780439858040
978,0,062,27113,0,9780062271130
978,1,451,66821,0,9781451668210
978,0,743,43732,0,9780743437320
978,1,440,15423,0,9781440154230
978,0,805,09006,0,9780805090060
978,0,316,04145,0,9780316041450
978,0,689,87121,0,9780689871210
978,1,429,98193,0,9781429981930
978,0,738,70392,0,9780738703920
978,1,582,34918,0,9781582349180
978,0,380,70442,0,9780380704420
978,0,312,37983,0,9780312379830
978,0,439,43656,0,9780439436560
978,0,375,81469,0,9780375814690
978,1,423,17512,0,9781423175120
978,0,375,81424,0,9780375814240
978,0,064,40833,0,9780064408330
978,0,440,90057,0,9780440900570
978,0,062,05999,0,9780062059990
978,0,385,90517,0,9780385905170
978,0,385,73257,0,9780385732570
978,1,250,09184,0,9781250091840
978,0,142,40425,0,9780142404250
978,0,061,13410,0,9780061134100
978,0,062,32052,0,9780062320520
978,0,316,21282,0,9780316212820
978,1,416,99556,0,9781416995560
978,1,442,42673,0,9781442426730
978,1,582,34918,0,9781582349180
978,0,062,08548,0,9780062085480
978,0,375,82987,0,9780375829870
978,0,062,41409,0,9780062414090
978,0,375,83365,0,9780375833650
978,0,373,21006,0,9780373210060
978,0,552,55131,0,9780552551310
978,0,312,56904,0,9780312569040
978,1,416,97893,0,9781416978930
978,0,099,54934,0,9780099549340
978,0,440,22720,0,9780440227200
978,1,423,14673,0,9781423146730
978,1,416,98942,0,9781416989420
978,0,060,53399,0,9780060533990
978,0,142,40663,0,9780142406630
978,0,061,72082,0,9780061720820
978,0,060,09612,0,9780060096120
978,0,316,06805,0,9780316068050
978,0,060,72461,0,9780060724610
978,0,439,79664,0,9780439796640
978,0,062,39218,0,9780062392180
978,0,141,32132,0,9780141321320
978,0,385,73030,0,9780385730300
978,0,060,88731,0,9780060887310
978,1,442,47205,0,9781442472050
978,0,689,84924,0,9780689849240
978,1,423,18310,0,9781423183100
978,0,374,37993,0,9780374379930
978,1,416,90354,0,9781416903540
