city,state,location
Springfield,MA,"Springfield, MA"
Ithaca,NY,"Ithaca, NY"
Foley,AL,"Foley, AL"
North Attleboro,MA,"North Attleboro, MA"
Bristol,CT,"Bristol, CT"
Lockport,NY,"Lockport, NY"
Dothan,AL,"Dothan, AL"
Guilford,CT,"Guilford, CT"
Lockport,NY,"Lockport, NY"
Leeds,AL,"Leeds, AL"
Groton,CT,"Groton, CT"
Cicero,NY,"Cicero, NY"
Albion,NY,"Albion, NY"
Wetumpka,AL,"Wetumpka, AL"
Batavia,NY,"Batavia, NY"
Canandaigua,NY,"Canandaigua, NY"
Foley,AL,"Foley, AL"
Gulf Shores,AL,"Gulf Shores, AL"
Madison,AL,"Madison, AL"
Clanton,AL,"Clanton, AL"
Lisbon,CT,"Lisbon, CT"
Methuen,MA,"Methuen, MA"
Albany,NY,"Albany, NY"
Fredonia,NY,"Fredonia, NY"
Cortlandville,NY,"Cortlandville, NY"
Jacksonville,AL,"Jacksonville, AL"
Hartford,CT,"Hartford, CT"
Batavia,NY,"Batavia, NY"
Russellville,AL,"Russellville, AL"
Quincy,MA,"Quincy, MA"
Gadsden,AL,"Gadsden, AL"
Halifax,MA,"Halifax, MA"
Auburn,AL,"Auburn, AL"
Springfield,MA,"Springfield, MA"
Monticello,NY,"Monticello, NY"
Alabaster,AL,"Alabaster, AL"
Jackson,AL,"Jackson, AL"
Brent,AL,"Brent, AL"
Huntsville,AL,"Huntsville, AL"
North Adams,MA,"North Adams, MA"
Talladega,AL,"Talladega, AL"
Center Point,AL,"Center Point, AL"
Fairfield,AL,"Fairfield, AL"
Adamsville,AL,"Adamsville, AL"
Rocky Hill,CT,"Rocky Hill, CT"
Anniston,AL,"Anniston, AL"
Semmes,AL,"Semmes, AL"
Danbury,CT,"Danbury, CT"
Lisbon,CT,"Lisbon, CT"
Wareham,MA,"Wareham, MA"
Oneonta,AL,"Oneonta, AL"
Andalusia,AL,"Andalusia, AL"
Geneva,NY,"Geneva, NY"
