protocol,domain,tld,url
https,www.med.stanford.edu,edu,https://www.med.stanford.edu/profiles/frdActionServlet?choiceId=facProfile&fid=6816
http,santander.cl.personas.sma11bus1ness.com,com,http://santander.cl.personas.sma11bus1ness.com/4/...
https,www.wc.rootsweb.ancestry.com,com,https://www.wc.rootsweb.ancestry.com/cgi-bin/igm.cgi?op=REG&db=debs_history&id=I24358
https,www.lacndb.com,com,https://www.lacndb.com/php/Info.php?name=Paolo%20Violi
https,www.people.famouswhy.com,com,https://www.people.famouswhy.com/jayne_heitmeyer/
https,www.groups.google.com,com,https://www.groups.google.com/group/alt.obituaries/browse_thread/thread/5fb8f93925078191/2e8087fa7b9395c0?hide_quotes=no&hl=en
https,www.linkedin.com,com,https://www.linkedin.com/pub/john-mccallum/6/91/726
https,www.songlyrics.com,com,https://www.songlyrics.com/marvin-gaye-lyrics/
https,www.firstcommercialbank.com,com,https://www.firstcommercialbank.com/index.cfm?ID=447
https,www.rottentomatoes.com,com,https://www.rottentomatoes.com/m/warner_bros_cartoons_golden_jubilee_24_karat_collection_speedy_gonzales_fast_funnies/
https,www.egydown.com,com,https://www.egydown.com/gx/Jane%20Eyre%20(2011)%20DvDrip%20Eng%20aXXo%20(Film%20HOT%202011).rar.html
http,atwayside.com,com,http://atwayside.com/webupdate/
https,www.pipl.com,com,https://www.pipl.com/directory/people/Tony/Basher
https,www.etihadairways.com,com,https://www.etihadairways.com/sites/Etihad/global/en/experienceetihad/Pages/AtTheAirport.aspx
https,www.youtube.com,com,https://www.youtube.com/watch?v=u6Ys7IiJ_n8
https,www.oddball-mall.com,com,https://www.oddball-mall.com/wantlist/deberg.htm
https,www.videoeta.com,com,https://www.videoeta.com/movie/12019
https,www.babepedia.com,com,https://www.babepedia.com/babe/Aimee_Addison
https,www.cpc.ncep.noaa.gov,gov,https://www.cpc.ncep.noaa.gov/products/precip/CWlink/pna/month_nao_index.shtml
https,www.1911encyclopedia.org,org,https://www.1911encyclopedia.org/Navarre
https,www.tv.com,com,https://www.tv.com/people/cliff-arquette/
https,www.facebook.com,com,https://www.facebook.com/group.php?gid=10066688689
http,homespottersf.com,com,http://homespottersf.com/smk/googledocs1/index.html
https,www.worldcat.org,org,https://www.worldcat.org/title/douglas-register-being-a-detailed-record-of-births-marriages-and-deaths-together-with-other-interesting-notes-as-kept-by-the-rev-william-douglas-from-1750-to-1797-an-index-of-goochland-wills-notes-on-the-french-huguenot-refugees-who-lived-in-manakin-town/oclc/1666193
https,www.articles.orlandosentinel.com,com,https://www.articles.orlandosentinel.com/2003-07-31/news/0307300459_1_beazer-homes-i-schottenstein-homes-bella-notte/14
https,www.majorleaguesoccertalk.com,com,https://www.majorleaguesoccertalk.com/english-premier-league-to-the-rescue-of-american-soccer-13309
http,kranskotaren.se,se,http://kranskotaren.se/wordpress/wp-content/file/host/host
https,www.youtube.com,com,https://www.youtube.com/watch?v=y_Rzr6FAjHo
https,www.fis-ski.com,com,https://www.fis-ski.com/uk/604/610.html?sector=SB&competitorid=19177&raceid=620
https,www.icehockey.wikia.com,com,https://www.icehockey.wikia.com/wiki/John-Paul_Kelly
http,s70.n57.n84.n66.static.myhostcenter.com,com,http://s70.n57.n84.n66.static.myhostcenter.com/Retrieving/72.167.232.186
